ÊÈCode","Description"
"694.3","Pointes, clous, punaises, agrafes (autres que celles de la position 895.12) et articles similaires, en cuivre, en fer ou en acier, avec tête en cuivre; vis, boulons, écrous, crochets à pas de vis, rivets, goupilles, chevilles, clavettes, rondelles (y compris les rondelles destinées à faire ressort) et articles similaires, en cuivre"
"694.31","Pointes, clous, punaises, agrafes et articles similaires en cuivre, ou en fer ou acier à tête de cuivre"
"694.32","Rondelles (y compris les rondelles destinées à faire ressort) et articles similaires, en cuivre, non filetés"
"694.33","Vis, boulons, écrous et articles similaires, en cuivre, filetés"
"694.4","Pointes, clous, agrafes (autres que celles du No 895.12), vis, boulons, écrous, crochets à pas de vis, rivets, goupilles, chevilles, clavettes, rondelles et articles similaires, en aluminium"
"695","Outils a main et outils pour machines"
"695.1","Bêches, pelles, pioches, pics, houes, binettes, fourches, râteaux et racloirs ; haches, serpes et outils similaires à taillants ; sécateurs de tous types ; faux et faucilles, couteaux à foin ou à paille, cisailles à haies, coins et autres outils agricoles, horticoles ou forestiers, à main"
"695.2","Scies à main, limes, râpes, pinces, tenailles, brucelles, cisailles à métaux, coupe-tubes, coupe-boulons, emporte-pièces et outils à main similaires"
"695.21","Scies à main"
"695.22","Limes, râpes et outils similaires"
"695.23","Pinces (même coupantes), tenailles, brucelles, cisailles à métaux, coupe-tubes, coupe-boulons, emporte-pièces et outils similaires"
"695.3","Clés de serrage à main (y compris les clés dynamométriques) ; douilles de serrage interchangeables, même avec manches"
"695.4","Outils et outillage à main (y compris les diamants de vitriers), n.d.a.; lampes à souder; étaux, serre-joints et similaires (autres que ceux constituants des accessoires ou des parties de machines-outils); enclumes; forges portatives; meules avec bâtis, à main ou à pédale"
"695.41","Outils de perçage, de filetage ou de taraudage"
"695.42","Marteaux et masses"
"695.43","Rabots, ciseaux, gouges et outils tranchants similaires pour le travail du bois"
"695.44","Tournevis"
"695.45","Outils et outillage pour l’économie domestique, n.d.a."
"695.46","Autres outils et outillage à main (y compris les diamants de vitriers) ; lampes à souder"
"695.47","Etaux, serre-joints et similaires"
"695.48","Enclumes ; forges portatives ; meules avec bâti, à main ou à pédale"
"695.49","Assortiments d’articles d’au moins deux des Nos du sous-groupe 695.4"
"695.5","Lames de scies de toutes sortes (y compris les fraises- scies et les lames non dentées pour le sciage)"
"695.51","Lames de scies à ruban"
"695.52","Lames de scies circulaires (y compris les fraises-scies) avec partie travaillante en acier"
"695.53","Lames de scies circulaires (y compris les fraises-scies) avec partie travaillante en autres matières"
"695.54","Chaînes de acies dites coupantes"
"695.55","Lames de scies droites, pour le travail des métaux"
"695.59","Autres lames de scies"
"695.6","Couteaux et lames tranchantes, pour machines ou pour appareils mécaniques; outils interchangeables pour machines-outils et pour outillage à main; plaquettes, baguettes, pointes et objets similaires pour outils"
"695.61","Couteaux et lames tranchantes pour machines ou pour appareils mécaniques"
"695.62","Plaquettes, baguettes, pointes et objets similaires pour outils, non montés, constitués par des carbures métalliques frittés ou des cermets"
"695.63","Outils de forage ou de sondage"
"695.64","Outils interchangeables pour outillage à main, électriques ou non, ou pour machines-outils (à emboutir, à estamper, à poinçonner, à tarauder, à fileter, à percer, à aléser, à brocher, à fraiser, à tourner, à visser, p.ex.), y compris les filières pour l’étirage ou le filage (extrusion) des métaux"
"695.7","Outils d’au moins deux des numéros des sous-groupes 695.2 à 695.5, conditionnés en assortiments pour la vente au détail"
"696","Coutellerie"
"696.3","Rasoirs et leurs lames (y compris les ébauches en bandes)"
"696.31","Rasoirs (non électriques)"
"696.35","Lames de rasoirs de sûreté (y compris les ébauches en bandes)"
"696.38","Parties, n.d.a., de rasoirs (non électriques), autres qu’en matière plastique"
"696.4","Ciseaux à doubles branches et leurs lames"
"696.5","Autres articles de coutellerie (tondeuses, fendoirs, couperets, hachoires de bouchers ou de cuisine et coupe-papier, par exemple); outils et assortiments d'outils de manucures ou de pédicures (y compris les limes à ongles)"
"696.51","Coupe-papier, ouvre-lettres, grattoirs, taille-crayons et leurs lames"
"696.55","Outils et assortiments d’outils de manucures ou de pédicures (y compris les limes à ongles)"
"696.59","Articles de coutellerie, n.d.a."
"696.6","Cuillers, fourchettes, louches, écumoires, pelles à tartes, couteaux spéciaux à poisson ou à beurre, pinces à sucre et articles similaires"
"696.61","Assortiments de cuisine ou de table contenant au moins un objet argenté, doré ou platiné"
"696.62","Autres assortiments de cuisine ou de table"
"696.63","Articles de cuisine ou de table argentés, dorés ou platinés, non groupés en assortiments"
"696.69","Autres articles de cuisine ou de table non groupés en assortiments"
"696.8","Couteaux (autres que ceux du No 695.61) à lame tranchante ou dentée, y compris les serpettes fermantes, et leurs lames"
"697","Articles de menage et d’economie domestique en metaux communs, n.d.a."
"697.3","Appareils de cuisson ou de chauffage à usage domestique, non électriques, ainsi que leurs parties, en fonte, fer ou acier ou en cuivre"
"697.31","Appareils de cuisson à usage domestique (poêles, chaudières à foyer, cuisinières, barbecues, braseros, réchauds à gaz, p.ex.) Et chauffe-plats, non électriques, en fonte, fer ou acier"
"697.32","Poêles à usage domestique (autres qu’appareils de cuisson), réchauds et appareils de chauffage non électriques (y compris ceux pouvant être utilisés accessoirement pour le chauffage central), en fonte, fer ou acier"
"697.33","Parties et pièces détachées en fonte, fer ou acier, pour les appareils des Nos 697.31 et 697.32"
"697.34","Appareils de cuisson ou de chauffage à usage domestique, non électriques, ainsi que leurs parties en cuivre"
"697.4","Articles de mènage ou d'économie domestique et leurs parties, n.d.a., en fonte, fer, acier, cuivre ou aluminium; paille de fer ou d'acier; éponges, torchons, gants et articles similaires pour le récurage, le polissage ou usages analogues, en fer, en acier, en cuivre ou en aluminium"
"697.41","Articles d’économie domestique et leurs parties, n.d.a., en fonte, fer ou acier"
"697.42","Articles d’économie domestique et leurs parties, n.d.a., en cuivre"
"697.43","Articles d’économie domestique et leurs parties, n.d.a., en aluminium"
"697.44","Paille de fer ou d’acier ; éponges, torchons, gants et articles similaires pour le récurage, le polissage ou usages analogues"
"697.5","Articles d'hygiène ou de toilette et leurs parties, n.d.a, en fonte, fer, acier, cuivre ou aluminium"
"697.51","Articles d’hygiène ou de toilette et leurs parties, n.d.a., en fonte, fer ou acier"
"697.52","Articles d’hygiène ou de toilette et leurs parties, n.d.a., en cuivre"
"697.53","Articles d’hygiène ou de toilette et leurs parties, n.d.a., en aluminium"
"697.8","Articles de ménage, objets d'ornement intérieur, cardres et miroiterie, en metaux communs, n.d.a."
"697.81","Appareils mécaniques actionnés à la main, d’un poids de 10 kg ou moins, utilisés pour préparer, conditionner ou servir les aliments ou les boissons"
"697.82","Statuettes et autres objets d’ornement, en métaux communs ; cadres pour photographies, gravures ou similaires, en métaux communs ; miroirs en métaux communs"
"699","Articles manufactures en metaux communs, n.d.a."
"699.1","Articles de serrurerie, coffres-forts, cassettes de sûreté, etc., et quincaillerie, n.d.a., en métaux communs"
"699.11","Cadenas, serrures et verrous (à clé, à secret ou électriques), en métaux communs ; fermoirs et montures-fermoirs comportant une serrure, en métaux communs ; clés pour ces articles, en métaux communs"
"699.12","Coffres-forts, portes blindées et compartiments pour chambres fortes, coffres et cassettes de sûreté et articles similaires, en métaux communs"
"699.13","Charnières"
"699.14","Roulettes"
"699.15","Autres garnitures, ferrures et articles similaires pour véhicules automobiles"
"699.16","Autres garnitures, ferrures et articles similaires pour bâtiments"
"699.17","Autres garnitures, ferrures et articles similaires pour meubles"
"699.19","Autres garnitures, ferrures et articles similaires ; patères porte-chapeaux, supports et articles similaires, en métaux communs ; ferme-portes automatiques"
"699.2","Chaînes (autres que les chaînes à maillons articulés), chaînettes et leurs parties, en fonte, fer ou acier"
"699.21","Chaînes antidérapantes"
"699.22","Autres chaînes et chaînettes"
"699.3","Epingles et aiguilles en fer ou en acier; perles métalliques et paillettes métalliques découpées, en métaux communs; et accessoires en métaux communs habituellement utilisés dans la confection des articles d'habillement et de voyage et des sacs à main, etc."
"699.31","Aiguilles à coudre, aiguilles à tricoter, passe-lacets, crochets, poinçons à broder et articles similaires, pour usage à la main, en fer ou en acier"
"699.32","Epingles de sûreté et autres épingles en fer ou en acier, n.d.a."
"699.33","Fermoirs, montures-fermoirs, boucles, boucles-fermoirs, agrafes, crochets, œillets et articles similaires, en métaux communs, pour vêtements, chaussures, bâches, maroquinerie, ou pour toutes confections ou équipements ; rivets tubulaires ou à tige fendue, en métaux communs ; perles et paillettes découpées, en métaux communs"
"699.4","Ressorts et lames de ressorts, en fer, en acier ou en cuivre"
"699.41","Ressorts et lames de ressorts en fer ou en acier"
"699.42","Ressorts en cuivre"
"699.5","Articles divers en métaux communs"
"699.51","Tuyaux flexibles en métaux communs, même avec leurs accessoires"
"699.52","Cloches, sonnettes, gongs et articles similaires, non électriques, et leurs parties, en métaux communs"
"699.53","Bouchons (y compris les bouchons-couronnes, les bouchons à pas de vis et les bouchons-verseurs), capsules pour bouteilles, bondes filetées, plaques de bondes, scellés et autres accessoires pour l’emballage, en métaux communs"
"699.54","Plaques indicatrices, plaques-enseignes, plaques-adresses et plaques similaires, chiffres, lettres et enseignes diverses, en métaux communs (à l’exclusion de ceux du No 813.2)"
"699.55","Fils, baguettes, tubes, plaques, électrodes et articles similaires, en métaux communs ou en carbures métalliques, enrobés ou fourrés de décapants ou de fondants, pour brasage, soudage ou dépôt de métal ou de carbures métalliques ; fils et baguettes en poudres agglomérées de métaux communs pour la métallisation par projection"
"699.6","Ouvrages en fonte, fer ou acier, n.d.a."
"699.61","Ancres, grappins et leurs parties, en fonte, fer ou acier"
"699.62","Ouvrages moulés en fonte non malléable, n.d.a."
"699.63","Ouvrages moulés ou coulés en autre fonte, fer ou acier, n.d.a."
"699.65","Ouvrages en fer ou en acier, forgés ou estampés mais non autrement travaillés, n.d.a."
"699.67","Ouvrages en fils de fer ou d’acier, n.d.a."
"699.69","Ouvrages en fer ou en acier, n.d.a."
"699.7","Ouvrages, n.d.a., en cuivre, nickel, aluminium, plomb, zinc et étain"
"699.71","Chaînes, chaînettes et leurs parties, en cuivre"
"699.73","Ouvrages en cuivre, n.d.a."
"699.75","Ouvrages en nickel, n.d.a."
"699.76","Ouvrages en plomb, n.d.a."
"699.77","Ouvrages en zinc, n.d.a."
"699.78","Ouvrages en étain, n.d.a."
"699.79","Ouvrages en aluminium, n.d.a."
"699.8","Produits mi-ouvrés et ouvrages en cobalt, cadmium, titane ou zirconium, n.d.a."
"699.81","Cobalt ouvré et ouvrages en cobalt, n.d.a."
"699.83","Cadmium ouvré et ouvrages en cadmium, n.d.a."
"699.85","Titane ouvré et ouvrages en titane, n.d.a."
"699.87","Zirconium ouvré et articles en zirconium, n.d.a."
"699.9","Produits mi-ouvrés et ouvrages en tungstène (wolfram), molybdène, tantale, magnésium ou autres métaux communs, n.d.a."
"699.91","Tungstène ouvré et ouvrages en tungstène, n.d.a."
"699.92","Molybdène ouvré et ouvrages en molybdène, n.d.a."
"699.93","Tantale ouvré et ouvrages en tantale, n.d.a."
"699.94","Magnésium ouvré et ouvrages en magnésium, n.d.a."
"699.95","Béryllium ouvré et ouvrages en béryllium, n.d.a."
