marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
toile dure,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Toile ; dure] [Toile; dure] [Toiles ; dure],non
toile écrue,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
toile écrue et de lin,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; écrue] [Toile de lin écrue] [Toile de lin écrus] [Toile de lin ecrue] [Toile ; de lin ; lerue] [Toiles ; de lin ; écrue],non
toile écrue et grise et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile écrue et grosse et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile écrue et pour essuie-mains,,,,,new,,,non
toile embabis,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; embabis] [Toile; embabis] [toiles embabis],non
toile en ???,,,,,new,,,non
toile en basin et brodé en soie et de coton,654,6g,Textiles coton,,new,,,non
toile en basin et de coton,654,6g,Textiles coton,,new,,,non
toile en carreaux et de lin et rayée,655,6h,Autres textiles mêlés fibres végétales et toiles,,,,,non
toile en claire et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile en coton et de fil,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
toile en coutil,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile en fair,6,6,6,,ambiguous,,[Toile ; en fair],non
toile en sacs,,,,,new,,,non
toile et bonneterie,800,8,Manufs divers,,ambiguous,[Toile ; et bonneterie],[Toile ; et bonneterie],non
toile et treillis lustrés,,,,,new,,,non
toile étoupes et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile étoupière,,,,,new,,,non
toile étrangère,653,6f,Textiles soie soie mêlée,,ambiguous,,[Toile ; Etrangères] [Toile ; étrangere] [Toile ; étrangeres] [Toile ; étrangère] [Toile ; étrangères] [Toiles ; Etrangères] [Toiles ; étrangères] [Toile etrangere] [Toile étrangère] [Toile ; etrangère] [Toile ; etrangeres] [Toile etrangère] [Toiles étrangères] [Toiles ; etrangère],non
toile étroite et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile étroite et fine,,,,,new,,,non
toile fine,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Toile ; fin] [Toile ; fine] [Toile fine] [Toile; fine] [Toiles ; fine] [Toiles ; fines] [Toille ; fine] [Toiles mêlée ; fine] [Toiles mêlées ; fine] [Toille fine],non
toile fine et de Flandre,,,,,new,,,non
toile fine et de lin,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; de lin ; fine] [Toile de lin fine] [Toille ; de lin ; fine] [Toilles ; de lin ; fines] [Toile ; de lin ; fin] [Toile ; fine ; de lin] [Toile; fine de lin] [Toiles ; de lin fine] [Toile ; fine de lin] [Toille ; fine ; de lin],non
toile fine et de lin et de Valenciennes,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile fine et large,,,,,new,,,non
toile firsacas,,,,,,,,non
toile glacée,,,,,new,,,non
toile gommée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; gomme] [Toiles ; Gommées ; Diverses],non
toile gommée bougron,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
toile gommée et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile gommée et treillis,,,,,new,,,non
toile gracienne,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; gracienne] [Toile gratienne],non
toile grasse,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
toile grise,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; Grise] [Toile ; grise] [Toile grise] [Toiles ; grise] [Toille grise],non
toile grise et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grise et de lin et à 10 sols et en dessous,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grise et de lin et à 30 sols l'aune,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grise et de lin et bas prix,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grise et de lin et en dessous de 10 sols l'aune,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grise et de lin et en dessous de 20 sols l'aune,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grise non battue,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toille grise non battue],non
toile gros brin,,,,,,,,non
toile gros fort,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; Gros fort] [Toile ; gros fort] [Toile ; grosfort] [Toile; gros fort],non
toile grosse,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grosse ???,,,,,new,,,non
toile grosse en faces,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grosse et de lin et pour nègre,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile grosse et sommiers,920,9b,Divers mélangés,,new,,,non
toile grosse garnie ??? pour prélat,,,,,,,,non
toile grossière et pièce de 50 aunes,,,,,new,,,non
toile haut brin,,,,,new,,,non
toile hivre,,,,,new,,,non
toile idem à carreaux,,,,,new,,,non
toile idem blanche,,,,,new,,,non
toile idem de halle,,,,,new,,,non
toile idem de ménages,,,,,,,,non
toile idem diverse,,,,,new,,,non
toile idem entre large,,,,,new,,,non
toile idem étroite,,,,,new,,,non
toile idem gracienne,,,,,new,,,non
toile idem imprimée,,,,,new,,,non
toile idem large,,,,,new,,,non
toile idem ordinaire,,,,,new,,,non
toile idem rosconne,,,,,new,,,non
toile idem royale,,,,,new,,,non
toile imitant celle des Indes,,,,,,,,non
toile imitant celle des Indes et de Rouen,,,,,new,,,non
toile imitant celle des Indes et nationale,,,,,,,,non
toile imprimée,654,6g,Textiles coton,,ambiguous,,[Toile ; imprimée] [Toile; imprimée] [Toile ; imprimées] [Toiles mêlées ; imprimés],non
toile imprimée et de fil et peinte et teinte,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
toile imprimée et de lin et nationale et peinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile imprimée et de lin et peinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile indienne,654,6g,Textiles coton,,ambiguous,,[Toile ; indienne] [Toiles ; indiennes] [Toile indienne] [Toiles diverses indiennes] [Toiles indienne],non
toile indienne ???,654,6g,Textiles coton,,new,,,non
toile indienne commune,654,6g,Textiles coton,,new,,,non
toile indienne de coton,654,6g,Textiles coton,,new,,,non
toile indienne de différentes qualités,654,6g,Textiles coton,,new,,,non
toile indienne de France,654,6g,Textiles coton,,new,,,non
toile indienne des Indes,654,6g,Textiles coton,,,,,non
toile indienne et peinte,654,6g,Textiles coton,,new,,,non
toile indienne étrangère,654,6g,Textiles coton,,new,,,non
toile indienne fine,654,6g,Textiles coton,,new,,,non
toile indienne française,654,6g,Textiles coton,,new,,,non
toile indienne grosse,654,6g,Textiles coton,,new,,,non
toile indienne nationale,654,6g,Textiles coton,,new,,,non
toile judieau,655,6h,Autres textiles mêlés fibres végétales et toiles,,,,,non
toile kettroy,999,???,???,,ambiguous,,[Toile ; kettroy],non
toile killis,654,6g,Textiles coton,,ambiguous,,[Toile ; Killis] [Toile ; killis] [Toile ; kittis] [Toile; Killis],non
toile kircochaye,,,,,,,,non
toile lagias,,,,,new,,,non
toile lavée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; lavée] [Toile; lavée],non
toile linon,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; Linon] [Toile ; limon] [Toile ; linon] [Toile; linon] [Toilles ; linon] [Toiles diverses ; linon] [Toiles ; linon] [Toile linon] [Toile ; linen] [Toile limon],non
toile lizat,,,,,new,,,non
toile lustrée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; lustrée] [Toile; lustrée],non
toile manche,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toille manche],non
toile manouf,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; Manouf] [Toile ; manouf] [Toile ; monouf] [Toile manouf] [Toile; manouf] [Toiles ; manouf] [Toille manouf] [toiles manouf],non
toile mêlée,,,,,new,,,non
toile miennel,,,,,,,,non
toile montagne,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; montagne],non
toile mouchoirs,800,8,Manufs divers,,new,,,non
toile nationale,,,,,,,,non
toile neganepeau et imitant celle des Indes,,,,,,,,non
toile noire,,,,,new,,,non
toile non battue,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; non battue] [Toile ; non battüe] [Toile; non battue] [Toiles ; non battue] [Toiles ; non batue] [Toile ; non batue] [Toile non batüe] [Toile non battüe] [Toile non batue] [Toile non battue],non
toile ordre et de Roussie,,,,,new,,,non
toile organdi,,,,,new,,,non
toile ouvrée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; ouvré] [Toile ; ouvrée] [Toille ouvrée] [Toile ouvrée],non
toile peinte,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Toile ; Peinte] [Toile ; peinte] [Toile ; peintes] [Toile peinte] [Toile pinte] [Toile; peinte] [Toiles ; peinte] [Toiles ; peintes] [Toille ; peinte] [Toille peinte] [Toille peintes] [Toille pinte] [Toille pintes] [Toillle Pinte] [toile peinte] [toille peintes] [Toiles peintes] [Toilles peintes diverses] [Toiles mêlée ; peinte] [Toile Peinte] [Toilles peintes] [Toiles mêlées ; Peintes] [Toiles ; meslées ; Peintes] [Toilles ; peinte] [Toilles Pintes],non
toile peinte et siamoise,,,,,new,,,non
toile peinte et teinte,,,,,new,,,non
toile peinte française,,,,,new,,,non
toile peinte imprimée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; peinte ; imprimée],non
toile peinte indienne,,,,,new,,,non
toile petite,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; petite] [Toile petite],non
toile photas,,,,,new,,,non
toile photas imitant celle des Indes,,,,,,,,non
toile pignée,,,,,new,,,non
toile piquée,,,,,new,,,non
toile piquée de Marseille,,,,,new,,,non
toile piqûre de Marseille,,,,,new,,,non
toile platier de Guinée,,,,,new,,,non
toile polonaise,,,,,new,,,non
toile poupoulis,,,,,,,,non
toile pour ameublement,,,,,new,,,non
toile pour ameublement et cirée,999,???,???,,ambiguous,,[toile pour ameublement (toile cirée)],non
toile pour ameublement et cirée aune,,,,,new,,,non
toile pour coiffes de chapeaux et de lin et teinte,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile pour cribles,,,,,new,,,non
toile pour emballage,,,,,new,,,non
toile pour emballage et grise et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile pour essuie-mains,999,???,???,,ambiguous,,[toille pour essuis mains],non
toile pour essuie-mainset grise et de lin,651,6d,Textiles lin chanvre jute ramies,,new,,,non
toile pour la Hollande,,,,,new,,,non
toile pour mouchoirs,656,6i,Autres textiles,,ambiguous,,[toille pour mouchoirs],non
toile pour mouchoirse et rayée,656,6i,Autres textiles,,new,,,non
toile pour nappes,,,,,new,,,non
toile pour nappes et serviettes,,,,,new,,,non
toile pour serviette,,,,,new,,,non
toile pour tabac,,,,,new,,,non
toile pour tableau,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; pour tableaux],non
toile pour talliet,,,,,new,,,non
toile pour tente,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; pour tentes],non
toile presitte,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; presitte],non
toile pressée,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; pressée] [Toilles pressées],non
toile preville,655,6h,Autres textiles mêlés fibres végétales et toiles,,,,,non
toile prohibée,,,,,new,,,non
toile Rajutapau,654,6g,Textiles coton,,ambiguous,,[Toile ; Rajutapau],non
toile ralette de Hambourg,,,,,,,,non
toile ramoise,654,6g,Textiles coton,,ambiguous,,[Toile ; ramoise],non
toile rayée,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
toile reploc,,,,,new,,,non
toile romals,,,,,new,,,non
toile rondelle,,,,,new,,,non
toile rouge,,,,,new,,,non
toile royale,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; Royale] [Toile ; royale] [Toile ; royalle] [Toile royale] [Toiles ; Royales] [Toiles ; royale] [Toille Royalle] [Toille royale] [Toille royalle] [toile ; royalle] [toile royale] [toille ; royale] [toille ; royalle] [Toille ; Noyalle] [Toile ; Royal] [toille royale] [Toile ; Royalle] [Toile Royale],non
toile royalle,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile royalle],non
toile sac,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[toille façonnée en sacs],non
toile sacs à boîtes,,,,,,,,non
toile Saintonge,,,,,new,,,non
toile salemporis,,,,,,,,non
toile salemporis bleue,,,,,,,,non
toile sanas lustrée,,,,,,,,non
toile sangalette,654,6g,Textiles coton,,ambiguous,,[Toile ; Sangalette] [Toile ; sangalette] [Toile; sangalette] [Toile sangallette] [Toile sangalette] [Toille sengalette],non
toile serpillère,,,,,new,,,non
toile serpillière,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile ; Serpilliere] [Toile ; Serpillière] [Toile ; serpilliere] [Toile ; serpillieres] [Toile ; serpillière] [Toile Serpilliere] [Toile; serpilliere] [Toilles serpillere] [Toile serpiliere] [Toiles mêlée ; serpillere] [Toile ; serpottiere] [Toile ; serpilière] [Toile ; serpilère] [Toile serpillière] [Toile sepillière] [Toile serpilière] [Toiles serpillières] [Toile serpilliere] [Toille ; serpillere] [Toiles ; mêlées ; serpillère] [Toile ; serpillere] [Toille serpillière] [Toilles serpilleres] [Toiles mêlées ; Serpillère],non
toile serviettes,,,,,new,,,non
toile sirsacas,,,,,,,,non
toile sistresaye,,,,,,,,non
toile socreton,,,,,,,,non
toile socreton bleue,,,,,,,,non
toile solonaise,,,,,,,,non
toile Suisse,,,,,new,,,non
toile tapsel,,,,,,,,non
toile tapsel imitant celle des Indes,,,,,,,,non
toile tarnatanes,,,,,,,,non
toile teinte,,,,,new,,,non
toile tissée,,,,,new,,,non
toile tissée très fin,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,"[Toile tissée, très fin]",non
toile treillis,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Toile treillis] [Toile ; treilli] [Toiles traillis] [Toiles treillis],non
toile Valenciennes,,,,,new,,,non
toile vernante,,,,,new,,,non
toile vitrée,,,,,new,,,non
toilerie,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Toilerie] [Toilleries] [Toillerie] [Toilerie de toute sorte] [Toileries diverses] [Toileries],non
toilerie des Indes du commerce étranger,,,,,,,,non
toilerie des Indes du commerce français,,,,,,,,non
toilerie du Levant,,,,,new,,,non
toilerie nationale,,,,,new,,,non
toiles custas,,,,,new,,,non
toiles custas et imitant celles des Indes,,,,,new,,,non
toilette,800,8,Manufs divers,,ambiguous,[Toilette] [Toilettes],[Toilette] [Toilettes],non
toilettes blanches et de lin,800,8,Manufs divers,,new,,,non
toilettes de bois,800,8,Manufs divers,,ambiguous,,[Toilette ; de bois],non
toilettes de bois verni,,,,,new,,,non
toilettes de femme,800,8,Manufs divers,,ambiguous,,[Toilette ; de femmes] [Toilettes ; de femme] [Toilettes de femme] [Toilettes de femmes] [Toilette pour femme] [Toillettes ; de femme],non
toilettes de Valenciennes,,,,,new,,,non
toilettes grises et de lin,800,8,Manufs divers,,new,,,non
tôle,,,,,existing,,,non
tôle de fer,670,6j,Métal,,ambiguous,,[Fer ; En Tôle] [Fer ; en Taule] [Fer ; en Taules] [Fer ; en taule] [Fer ; en taules] [Fer ; en taulle] [Fer ; en tole] [Fer ; en tolles] [Fer ; en toule] [Fer ; en tôle] [Fer en Taule] [Fer en taulle] [Fer en taulles] [Fer en taullle] [Fer en tolle] [Fers ; En tôle] [Fers ; en tole] [Fers ; en tôle] [Fers en taulle] [fer ; en taule] [fer en Taule] [fer en Taules] [fer en taule] [fer en taules] [fer en taulle] [fert en taule] [Fer; En tôle] [Fer en taules] [Fer; En tole] [Tôles de fer] [Fer en tôle] [Fer en taule] [Fer en tole] [Fers en tôle],non
tôle de fer simple,670,6j,Métal,,new,,,non
tôle de fer-blanc,670,6j,Métal,,new,,,non
tôle double de fer,670,6j,Métal,,new,,,non
tôle en platines vernies,670,6j,Métal,,new,,,non
tombas,,,,,,,,non
tombeau,999,???,???,,ambiguous,[Tombeaux],[Tombeaux],non
tombereaux,,,,,new,,,non
tombereaux et voitures,,,,,new,,,non
tondelle,999,???,Produits inconnus,x,ambiguous,[Tondelle],[Tondelle],non
tondures de drap,656,6i,Autres textiles,,new,,,non
tonneau,6,6,6,,ambiguous,[Tonneaux],[Tonneaux],non
tonneaux à l'eau cerclés de fer,800,8,Manufs divers,,new,,,non
tonneaux cercles de bois,,,,,,,,non
tonneaux cercles de fer,800,8,Manufs divers,,new,,,non
tonneaux cerclés de fer,800,8,Manufs divers,,new,,,non
tonneaux cuvelles et futailles,,,,,new,,,non
tonneaux neufs,,,,,new,,,non
tonneaux vides,6,6,6,,ambiguous,,[Tonneaux ; ruides] [Tonneaux vides] [Tonneaux vuides] [tonneaux vuides],non
toques,,,,,,,,non
tortue,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Tortue] [Tortües] [tortues],[Tortue] [Tortües] [tortues],non
tortue marinées et salées,,,,,new,,,non
toupe de cuivre,670,6j,Métal,,ambiguous,,[Cuivre ; en toupe],non
touques de grès,,,,,new,,,non
touques petites,,,,,new,,,non
tour à filer,700,7,Machines et transports,,ambiguous,,[Tour ; à filer] [Tours ; à filer] [Tours à filer],non
tour pour tourneur,,,,,new,,,non
tourbe,300,3,Combustibles,,ambiguous,[Tourbe] [Tourbes] [tourbes],[Tourbe] [Tourbes] [tourbes],non
tournebres,,,,,new,,,non
tournebroche,6,6,6,,ambiguous,[Tournebroche] [Tournebroches] [tournebroche],[Tournebroche] [Tournebroches] [tournebroche],non
tournes-viandes,,,,,new,,,non
tournesol,10,0a,Autres produits alimentaires et animaux,x,ambiguous,[Tourneso] [Tournesol] [Tournesols] [tournesol],[Tourneso] [Tournesol] [Tournesols] [tournesol] [Drogue ; pour la peinture et la teinture ; tournesol] [Drogueries ; pour peinture et teinture ; tournesol] [Drogues ; pour la peinture et la teinture ; tournesol] [Drogues ; pour peinture et teinture ; tournesol] [Drogues ; Medecinales en plantes ; Tournesol] [Drogues ; Médecinales en plantes ; Tournesol],non
tournesol apprêté,500,5,Produits chimiques,,new,,,non
tournesol en drapeau,500,5,Produits chimiques,,ambiguous,,[Tournesol en drapeau],non
tournesol en herbes,10,0a,Autres produits alimentaires et animaux,x,new,,,non
tournesol en pain,10,0a,Autres produits alimentaires et animaux,x,ambiguous,,[Drogues ; pour la peinture et la teinture ; tournesol ; en pain] [Drogues ; Pour la teinture ; Tournesol en pain] [Tournesol ; en pain],non
tournesol et d'acmail,500,5,Produits chimiques,,ambiguous,,[Drogue ; pour peinture et teinture ; tournesol et d'acmail],non
tourons,,,,,,,,non
tours,700,7,Machines et transports,,ambiguous,[Tours],[Tours],non
tours à barriques,,,,,,,,non
tours à filer,,,,,,,,non
tours à guillocher,,,,,,,,non
tours de lit de bourre,700,7,Machines et transports,,ambiguous,,[Tours ; de lit ; de bourre] [Tours de lit de bourre],non
toutemayen,,,,,new,,,non
toutenague,500,5,Produits chimiques,,ambiguous,[Toutellagne] [Toutenage] [Toutenagne] [Toutenagre] [Toutenague] [Toutenagues] [toute vague],[Toutellagne] [Toutenage] [Toutenagne] [Toutenagre] [Toutenague] [Toutenagues] [toute vague] [Drogues ; Métalliques ; Toutenague],non
train de cabriolet,,,,,new,,,non
train de carrosses,700,7,Machines et transports,,,,,non
trait d'argent et d'or,800,8,Manufs divers,,new,,,non
