orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
douelles vieilles à barriques,3,douelles vieilles à barriques,3
doutis,8,doutis,8
doutis blancs,2,doutis blancs,2
doutis bleus,1,doutis bleus,1
douvain,1,douvain,1
douvelles,1,douvelles,1
douvelles de sapin,1,douvelles de sapin,1
douves,2,douves à tonneaux,34
douves à tonneaux,32,douves à tonneaux,34
douves de deux pouces,1,douves de deux pouces,1
drache,10,drêche de bière,11
drache de bière,1,drêche de bière,11
dracodium,1,dracodium,1
dragée,52,dragée,52
dragée de Keyser,3,dragée de Keyser,3
dragonnes,1,dragonnes,1
dragonnes d'épée,1,dragonnes d'épée,1
drague de bière,1,drague de bière,2
drague de brasserie,1,drague de bière,2
drague de soie,1,drague de soie,1
drap,109,drap,510
drap à doubler,1,drap à doubler,1
drap à matelot,1,drap à matelot,1
drap à passer sucre,4,drap à sucre,6
drap à sucre,2,drap à sucre,6
drap au sixième de soie,3,drap au sixième de soie,3
drap avarié,4,drap avarié,5
drap blanc,3,drap blanc,5
drap blanc d'Espagne,1,drap blanc d'Espagne,1
drap blanc de Bremer,1,drap blanc de Bremer,2
drap blanc de Bremer aune,1,drap blanc de Bremer,2
drap blanc de douzaine,1,drap blanc de douzaine,2
drap blanc de douzaine aune,1,drap blanc de douzaine,2
drap blanc de Hollande,1,drap blanc de Hollande,1
drap blanc et écarlate,1,drap blanc et écarlate,1
drap blanc fin,2,drap blanc fin,2
drap blanc par aune,2,drap blanc,5
drap bleu,1,drap bleu,2
drap bleu gros,1,drap bleu gros,1
drap brodé aux ciseaux en soie,1,drap brodé au ciseau en soie,1
drap brodé en or et argent,3,drap brodé en or et argent,3
drap brodé en soie,2,drap brodé en soie,2
drap by,1,drap,510
drap calimouk,1,drap calimouk,1
drap calimouk de Sedan 20 lignes,1,drap calimouk de Sedan 20 lignes,1
drap calimouk de Sedan 350 lignes,1,drap calimouk de Sedan 350 lignes,1
drap carisé,1,carisé,13
drap carisé des prises,1,carisé des prises,1
drap casimir,6,casimir de laine,9
drap commun,19,drap commun,300
drap commun d'Angleterre,1,drap commun d'Angleterre,1
drap cordeillat,40,drap cordeillat,41
drap cordeillat de Colmar,2,drap cordeillat de Colmar,2
drap cosinis,1,drap cosinis,1
drap crêpe,1,drap crêpe,1
drap crêpe de Reims,2,drap crêpe de Reims,2
drap d',3,drap d',3
drap d'Abbeville,55,drap d'Abbeville,57
drap d'Abbeville Valenciennes,1,drap d'Abbeville Valenciennes,1
drap d'Amboise,1,drap d'Amboise,1
drap d'Amiens,12,drap d'Amiens,22
drap d'Andelys,12,drap d'Andelys,12
drap d'Angleterre,9,drap d'Angleterre,14
drap d'Angleterre aune,1,drap d'Angleterre,14
drap d'Angleterre des prises,3,drap d'Angleterre des prises,3
drap d'Angleterre Hollande et Espagne,1,drap d'Angleterre et drap d'Espagne et drap de Hollande,1
drap d'Angleterre noir,1,drap d'Angleterre noir,1
drap d'Arnetal,16,drap d'Arnetal,16
drap d'aucrin,1,drap d'aucrin,1
drap d'Aumale,1,drap d'Aumale,1
drap d'Elbeuf,279,drap d'Elbeuf,280
drap d'Elbeuf de retour,1,drap d'Elbeuf de retour,1
drap d'Espagne,2,drap d'Espagne,4
drap d'Espagne aune,1,drap d'Espagne,4
drap d'estame,1,drap d'estames,1
drap d'or et d'argent fin,1,drap d'or et d'argent fin,1
drap Darnétal,11,drap de Darnétal,26
drap dauphine,3,drap dauphine,9
drap de Beauvais,6,drap de Beauvais,11
drap de Beauvaste,1,drap de Beauvais,11
drap de Bergopzoom,1,drap de Bergopzoom,1
drap de billard,2,drap de billard,2
drap de Bolbec,1,drap de Bolbec,1
drap de Bourbon,1,drap de Bourbon,1
drap de Carcassonne,158,drap de Carcassonne,165
drap de Carcassonne de 20 aunes,1,drap de Carcassonne de 20 aunes,1
drap de Carcassonne écarlate,1,drap de Carcassonne et écarlate,1
drap de Carcassonne fin,1,drap de Carcassonne fin,1
drap de casimir,2,casimir de laine,9
drap de castor,4,drap de castor,8
drap de castor aune,1,drap de castor,8
drap de castor par aune,1,drap de castor,8
drap de Colmar,6,drap de Colmar,6
drap de cordeillat,3,drap de cordeillat,3
drap de coton,2,drap de coton,18
drap de coton de Rouen,1,drap de coton de Rouen,1
drap de Darnétal,15,drap de Darnétal,26
drap de Dauphiné,1,drap de castor,8
drap de diverses coutures,1,drap,510
drap de douzaine,2,drap de douzaine,3
drap de douzaine aune,1,drap de douzaine,3
drap de Falaise,3,drap de Falaise,3
drap de fil en écarlate,1,drap de fil rouge,1
drap de fil vieux,1,drap de fil vieux,1
drap de France,66,drap de France,68
drap de Glasier,1,drap de Glasier,1
drap de glaster,1,drap de glaster,1
drap de Glaster,1,drap de Glaster,1
drap de glastes,2,drap de glastes,2
drap de Glates,2,drap de Glates,2
drap de Glouster,1,drap de Glouster,1
drap de Hollande,3,drap de Hollande,5
drap de julienne,14,drap de julienne,22
drap de Korook,1,drap de Korook,1
drap de la Bouille,1,drap de la Bouille,1
drap de lain,1,drap de laine,202
drap de laine,176,drap de laine,202
drap de laine au ??? de soie,1,drap de laine au ??? de soie,1
drap de laine au quart de soie,3,drap de laine au quart de soie,3
drap de laine avarié,1,drap de laine avarié,1
drap de laine blanc,1,drap blanc de laine,1
drap de laine bleu,1,drap bleu,2
drap de laine brodé en soie,1,drap de laine brodé de soie,1
drap de laine commun,9,drap de laine commun,9
drap de laine cordeillat,4,drap de laine cordeillat,4
drap de laine d'Abbeville,1,drap d'Abbeville,57
drap de laine d'Amiens,1,drap de laine d'Amiens,1
drap de laine d'Andelys,1,drap de laine d'Andelys,1
drap de laine d'Angleterre,2,drap d'Angleterre,14
drap de laine d'Arnetal,1,serge d'Arnetal,1
drap de laine d'Elbeuf,3,drap de laine d'Elbeuf,3
drap de laine de ???,1,drap de ?,1
drap de laine de Beauvais,1,drap de laine de Beauvais,1
drap de laine de Carcassonne,3,drap de Carcassonne,165
drap de laine de castor,1,drap de castor,8
drap de laine de cérémonie,1,drap de cérémonie,1
drap de laine de Cherbourg,1,drap de Cherbourg,1
drap de laine de cordeillat,2,drap de laine de cordeillat,2
drap de laine de Cours,1,drap de laine de Cours,1
drap de laine de France,2,drap de France,68
drap de laine de Hollande,2,drap de Hollande,5
drap de laine de Lille,1,drap de laine de Lille,1
drap de laine de Louviers,4,drap de laine de Louviers,4
drap de laine de Montauban,2,drap de Montauban,28
drap de laine de Nanrabais,1,drap de laine de Nanrabais,1
drap de laine de Nison,1,drap de Nison,1
drap de laine de Reims,1,draps de laine de Reims,1
drap de laine de Rome,1,drap de Rome,1
drap de laine de Rouen,1,drap de Rouen,9
drap de laine de Saint-Robert,2,drap de laine de Saint-Robert,2
drap de laine de Sedan,2,drap de Sedan,179
drap de laine de Silésie,4,drap de Silésie,44
drap de laine de Sir,1,drap de Sir,1
drap de laine de toute espèce,2,drap de laine,202
drap de laine de Van Robais,6,drap de laine de Van Robais,6
drap de laine de Vir,1,drap de laine de Vir,1
drap de laine demi fin,1,drap demi fin de laine,1
drap de laine des prises,5,drap des prise,15
drap de laine divers,3,drap de laine,202
drap de laine diverse,2,drap de laine,202
drap de laine draperie diverse,1,drap de laine draperie diverse,1
drap de laine du Languedoc,4,drap de Languedoc,123
drap de laine du Nord,1,drap du Nord,4
drap de laine du sceau,1,drap du sceau,1
drap de laine écarlate,3,drap écarlate,57
drap de laine étranger,1,drap étranger,1
drap de laine fin,52,drap de laine fin,55
drap de laine fine,2,drap de laine fin,55
drap de laine gros,2,drap de laine gros,2
drap de laine lin,1,drap de laine fin,55
drap de laine londrin,1,drap de laine londrin,2
drap de Languenan,1,drap de Languenan,1
drap de Latte,1,drap de Latte,1
drap de Lille,5,drap de Lille,5
drap de Limbourg,1,drap de Limbourg,3
drap de Limbourg aune,1,drap de Limbourg,3
drap de Limoux,3,drap de Limoux,3
drap de lin,6,drap de lin,6
drap de lin ayant servi,2,drap de lin ayant servi,2
drap de lin vieux,8,drap de lin vieux,8
drap de linge commun,1,drap de linge commun,1
drap de lit,32,drap de lit,37
drap de lit ayant servi,2,drap de lit ayant servi,2
drap de lit commun,1,drap de lit commun,1
drap de lit de lin,1,drap de lit de lin,1
drap de lit neuf,1,drap de lit neuf,1
drap de lit toile de lin,1,drap de lit toile de lin,1
drap de lit vieux,32,drap de lit vieux,32
drap de Lodève,17,drap de Lodève,17
drap de Londrin,3,drap de Londrin,3
drap de Louviers,157,drap de Louviers,189
drap de Louviers au sixième de soie,1,drap de Louviers au sixième de soie,1
drap de Lyon,1,drap de Lyon,3
drap de Maroc,1,Maroc,41
drap de montagne,5,drap de montagne,5
drap de Montauban,5,drap de Montauban,28
drap de Moucu,1,drap de Moucu,1
drap de Nîmes,1,drap de Nîmes,1
drap de Normandie,2,drap de Normandie,2
drap de pagnon,1,drap de pagnon,1
drap de Panguede,1,drap de Panguede,1
drap de Picardie,1,drap de Picardie,3
drap de Pie,1,drap de Picardie,3
drap de Pie aune,1,drap de Picardie,3
drap de Reims fil ???,1,drap de Reims fil ???,1
drap de Romorntin,1,drap de Romorantin,1
drap de Rouen,8,drap de Rouen,9
drap de Saint-Lô,1,drap de Saint-Lô,1
drap de Sedan,149,drap de Sedan,179
drap de Sedan 220 lignes,1,drap de Sedan 220 lignes,1
drap de Sedan 25 lignes,1,drap de Sedan 25 lignes,1
drap de Sedan 78 lignes,1,drap de Sedan 78 lignes,1
drap de Sedan de retour,1,drap de Sedan de retour,1
drap de Ségovie,1,drap de Ségovie,1
drap de Silésie,21,drap de Silésie,44
drap de soie,2,drap de soie,5
drap de Soudrain,1,drap de Soudrain,1
drap de Souvier,1,drap de Souvier,1
drap de toile de lin,1,drap de toile de lin,1
drap de Tours,1,drap de Tours,1
drap de toute espèce,1,drap,510
drap de toute sorte,2,drap,510
drap de Van Robais,17,drap de Van Robais,17
drap de vere,1,drap de vere,1
drap de Vir,1,drap de Vir,16
drap de Vire,15,drap de Vir,16
drap des prises,10,drap des prise,15
drap dit packlaeken,1,packlaeken,2
drap dit packlaeken aune,1,packlaeken,2
drap dit packlaeken blanc,1,packlaeken blanc,2
drap dit packlaeken blanc aune,1,packlaeken blanc,2
drap dit packlaeken teint,1,packlaeken teint,2
drap dit packlaeken teint aune,1,packlaeken teint,2
drap dit plawens,1,plawens,2
drap dit plawens aune,1,plawens,2
drap dit plawens ou codde,1,plawens ou codde,2
drap dit plawens ou codde aune,1,plawens ou codde,2
drap divers,106,drap,510
drap divers ???,1,drap divers ???,1
drap divers anglais,1,drap anglais,1
drap divers de laine,1,drap de laine,202
drap divers de Limbourg,1,drap de Limbourg,3
drap divers draperie,1,drap,510
drap divers écarlate,2,drap écarlate,57
drap divers fin,1,drap fin,84
drap drache,2,drap drache,2
drap drap commun,2,drap commun,300
drap drap fin,4,drap fin,84
drap drapée,1,drap drapée,1
drap draperie,1,drap,510
drap draperie ???,1,drap draperie ???,1
drap draperie bay ???,1,bayette,111
drap draperie bayette,2,bayette,111
drap draperie buras,1,drap buras,1
drap draperie bure,1,drap bure,1
drap draperie cad ???,1,drap cad ???,1
drap draperie cadis,2,cadis,85
drap draperie capots,1,capots (draps),1
drap draperie crêpe,2,crêpe,9
drap draperie crêpe de Reims,3,crêpe de Reims,5
drap draperie d'Abbeville,1,drap d'Abbeville,57
drap draperie d'Amiens,2,drap d'Amiens,22
drap draperie Damas,1,drap Damas,1
drap draperie dauphine,6,drap dauphine,9
drap draperie de Carcassonne,1,drap de Carcassonne,165
drap draperie de Montauban,2,drap de Montauban,28
drap draperie diverse,1,drap,510
drap draperie droguet,7,drap de droguet,7
drap draperie du Languedoc,2,drap de Languedoc,123
drap draperie espagnolette,2,espagnolette,65
drap draperie fine,2,drap fin,84
drap draperie flanelle,1,flanelle,147
drap draperie frac,1,drap frac,2
drap draperie froc,1,drap frac,2
drap draperie futaine,3,draperie et futaine,3
drap draperie iadia,1,drap iada,1
drap draperie irtaine,1,irtaine,1
drap draperie layette,1,drap layette,1
drap draperie molleton,1,drap molleton,1
drap draperie motton,1,drap motton,1
drap draperie moutade,1,drap moutade,1
drap draperie ordinaire,4,drap ordinaire,11
drap draperie petite,3,drap petit,394
drap draperie petite de mains,1,drap petit de mains,1
drap draperie petite de Sedan,1,drap petit de Sedan,1
drap draperie petite de Silésie,1,drap petit de Silésie,13
drap draperie petite divers,1,drap petit,394
drap draperie petite diverse,1,drap petit,394
drap draperie petite du Languedoc,1,drap petit de Languedoc,1
drap draperie petite du Maroc,1,Maroc,41
drap draperie pinchina,3,pinchinat de laine,6
drap draperie ratine,4,ratine,77
drap draperie raz de castor,1,raz de castor,31
drap draperie raz du Maroc,3,raz du Maroc,80
drap draperie serge,1,serge de laine,478
drap draperie serge de laine,5,serge de laine,478
drap draperie serge de Rome,1,serge de Rome,4
drap draperie sergette,1,sergette,10
drap draperie terlaine,1,drap terlaine,1
drap draperie tricots,1,drap et tricots,1
drap droguet,1,droguet,2
drap droguet d'Angleterre,1,droguet d'Angleterre,2
drap droguet de castor,1,droguet de castor,2
drap droguet de Hollande,6,droguet de Hollande,6
drap droguet de laine,4,droguet de laine,27
drap droguet de Milan,1,droguet de milan,1
drap droguet fil à laine,1,droguet de fil de laine,1
drap droguet fil et laine,4,droguet de fil et de laine,10
drap du Berry,3,drap du Berry,3
drap du Château du Parc,1,drap écarlate,57
drap du Dauphiné,1,drap du Dauphiné,1
drap du Languedoc,74,drap de Languedoc,123
drap du Languedoc écarlate,1,drap écarlate et du Languedoc,1
drap du Maroc,3,Maroc,41
drap du Maroc aune,1,Maroc,41
drap du Maroc teint de douzaine,2,Maroc teint de douzaine,2
drap du Nord,1,drap du Nord,4
drap du Nord blanc,1,drap blanc du Nord,1
drap du Nord mêlé,1,drap du Nord,4
drap du Nord mêlé aune,1,drap du Nord,4
drap du Nord teint,1,drap du Nord teint,2
drap du Nord teint aune,1,drap du Nord teint,2
drap du pays,1,drap du pays,1
drap du Poitou,1,drap du Poitou,1
drap écarlate,42,drap écarlate,57
drap écarlate de France,1,drap écarlate de France,1
drap écarlate des prises,1,drap écarlate des prises,1
drap écarlatine,2,drap écarlate,57
drap Elbeuf,1,drap d'Elbeuf,280
drap et draperie,1,drap et draperie,2
drap et draperie casinier,1,drap et draperie casinier,1
drap et draperie de toute sorte,1,drap et draperie,2
drap et draperie divers de laine,1,drap et draperie de laine,1
drap et draperie raffiné,1,drap fin,84
drap et étoffe de laine,1,drap et étoffe de laine,2
drap et mouchoirs de soie,1,drap et mouchoir de soie,1
drap et velours de coton,1,drap et velours de coton,1
drap fin,28,drap fin,84
drap fin blanc,1,drap fin blanc,1
drap fin du Languedoc,3,drap fin du Languedoc,23
drap fin et draperie,1,drap fin et draperie,1
drap fin manufacture de France,2,drap fin de la manufacture de France,2
drap gaufré,2,drap gaufré,2
drap gros,2,drap gros,4
drap gros de Cobras,1,drap de Cobras gros,1
drap gros de laine,4,drap gros de laine,4
drap grossier,2,drap grossier,4
drap imprimé,1,drap imprimé,2
drap kalmouk,4,drap kalmouk,4
drap londrin,185,drap londrin,186
drap londrin ?,1,drap londrin ?,1
drap londrine,1,drap londrin,186
drap Louviers,32,drap de Louviers,189
drap mêlé d'Espagne,1,drap d'Espagne,4
drap natives divers,1,drap native divers,1
drap naturel commun,1,drap naturel commun,1
drap naturel de Sedan,1,drap naturel de Sedan,1
drap naturel diverses,1,drap naturel diverses,1
drap naturel Sirre,1,drap naturel Sirre,1
drap naufragé,1,drap avarié,5
drap noir,5,drap noir,5
drap noir de Sedan,1,drap noir de Sedan,1
drap non indiqué,1,drap,510
drap ordinaire,7,drap ordinaire,11
drap palencourt,1,drap palencourt,1
drap petit,6,drap petit,394
drap petit dit raz Maroc,1,raz du Maroc,80
drap petit divers,1,drap petit,394
drap petit raz de castor,2,petit raz de castor,2
drap petit raz refoulé,1,petit raz refoulé,1
drap petite ratine,1,ratine petite,3
drap pour nègre,2,drap à nègre,2
drap ratine,5,ratine,77
drap ratine diverse,1,ratine,77
drap raz d'Angleterre,1,raz d'Angleterre,1
drap raz de castor,2,raz de castor,31
drap raz de Saint-Lô,1,raz de Saint-Lô,2
drap raz du Maroc,4,raz du Maroc,80
drap raze blanche,1,raze blanche,1
drap Reims,1,drap de Reims,1
drap rouge,1,drap rouge,1
drap rouge bariolé,1,drap rouge bariolé,1
drap Sedan,16,drap de Sedan,179
drap serge à doubler,7,serge à doubler,53
drap serge d'Aumale,4,serge d'Aumale,13
drap serge de laine,4,serge de laine,478
drap serge de laine et fil,1,serge de fil et laine,1
drap serge de Lille,3,serge de Lille,8
drap serge de Montauban,2,serge de Montauban,15
drap serge des prises,1,serge des prises,5
drap serge drapée,4,serge drapée,41
drap serge écarlatine,1,serge écarlatine,2
drap serge fil et laine,1,serge fil et laine,1
drap serge forte,2,serge forte,2
drap serge imprimé,2,serge imprimée,116
drap serge imprimée,3,serge imprimée,116
drap serge sergette,1,serge sergette,1
drap Silésie,6,drap de Silésie,44
drap teint,1,drap teint,5
drap teint aune,1,drap teint,5
drap teint d'Espagne,1,drap d'Espagne teint,1
drap teint d'Espagne et de Hollande,1,drap teint d'Espagne et de Hollande,2
drap teint d'Espagne et de Hollande aune,1,drap teint d'Espagne et de Hollande,2
drap teint de douzaine,1,drap teint,5
drap teint de douzaine aune,1,drap de douzaine teint,3
drap teint de Hollande,1,drap de Hollande teint,1
drap teint et mêlé,1,drap teint,5
drap teint et mêlé aune,1,drap teint,5
drap teint et mêlé de douzaine,1,drap de douzaine teint,3
drap teint et mêlé de douzaine aune,1,drap de douzaine teint,3
drap vert,2,drap vert,2
drap vieux,2,drap vieux,2
drap vieux pour l'entrepôt pour la Guinée,1,drap vieux pour l'entrepôt pour la Guinée,1
drape commune,1,drap commun,300
drape draperie ratine,1,ratine,77
drape petite,1,drape petite,1
drapeaux,1,drapeaux,1
drapeaux vieux,45,drapeaux vieux,46
drapeaux vieux pour papeterie,1,drapeaux vieux pour papeterie,1
draperie,189,drap,510
draperie ??? du Languedoc,1,drap de Languedoc,123
