goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
sucre blanc et sucre terré des Îles françaises de l'Amérique,1,Pas grain (0),non,539069
sucre blanc et sucre terré et sucre têtes,3,Pas grain (0),non,539069
sucre blanc et tabatière de bergamote,0,Pas grain (0),oui,539069
sucre blanc et tabatières de bergamote,1,Pas grain (0),non,539069
sucre blanc terré et têtes,20,Pas grain (0),non,539069
sucre brun,83,Pas grain (0),non,539069
sucre brun brut,3,Pas grain (0),non,539069
sucre brun prix bas,1,Pas grain (0),non,539069
sucre brut,1623,Pas grain (0),non,539069
sucre brut autre que blanc,6,Pas grain (0),non,539069
sucre brut autre que blanc des entrepôts étranger,1,Pas grain (0),non,539069
sucre brut autre que blanc étranger,4,Pas grain (0),non,539069
sucre brut blanc,4,Pas grain (0),non,539069
sucre brut blanc ou terré,5,Pas grain (0),non,539069
sucre brut des colonies françaises au-delà du Cap,2,Pas grain (0),non,539069
sucre brut en forme,1,Pas grain (0),non,539069
sucre brut et sucre terré,5,Pas grain (0),non,539069
sucre brut par Nantes,1,Pas grain (0),non,539069
sucre candi,201,Pas grain (0),non,539069
sucre candi en pain et en poudre raffiné,1,Pas grain (0),non,539069
sucre candi et en pain,3,Pas grain (0),non,539069
sucre candi et sucre en pain par Bayonne Bordeaux Le Havre et Dunkerque,1,Pas grain (0),non,539069
sucre candi raffiné,1,Pas grain (0),non,539069
sucre carré,1,Pas grain (0),non,539069
sucre cassonade,1,Pas grain (0),non,539069
sucre cassonade des Indes,0,Pas grain (0),oui,539069
sucre commun,18,Pas grain (0),non,539069
sucre d'érable,4,Pas grain (0),non,539069
sucre d'orge,14,Pas grain (0),non,539069
sucre de Brésil et sucre blanc et sucre cru,1,Pas grain (0),non,539069
sucre de canne,1,Pas grain (0),non,539069
sucre de Cayenne,1,Pas grain (0),non,539069
sucre de Cayenne terré,5,Pas grain (0),non,539069
sucre de forme,1,Pas grain (0),non,539069
sucre de lait,1,Pas grain (0),non,539069
sucre de réglisse,2,Pas grain (0),non,539069
sucre de têtes,15,Pas grain (0),non,539069
sucre des Indes brut,1,Pas grain (0),non,539069
sucre des Indes terré,2,Pas grain (0),non,539069
sucre des Indes têtes,1,Pas grain (0),non,539069
sucre des prises terré,1,Pas grain (0),non,539069
sucre dit lompen,1,Pas grain (0),non,539069
sucre en blanc,1,Pas grain (0),non,539069
sucre en dragées,1,Pas grain (0),non,539069
sucre en forme terré,1,Pas grain (0),non,539069
sucre en lait,1,Pas grain (0),non,539069
sucre en pain,861,Pas grain (0),non,539069
sucre en pain blanc,1,Pas grain (0),non,539069
sucre en pain et en poudre raffiné,1,Pas grain (0),non,539069
sucre en pain et sucre raffiné,9,Pas grain (0),non,539069
sucre en pain et sucre raffiné et sucre têtes etc.,1,Pas grain (0),non,539069
sucre en pain et sucre terré,2,Pas grain (0),non,539069
sucre en pain par Le Havre,1,Pas grain (0),non,539069
sucre en pain par Strasbourg,1,Pas grain (0),non,539069
sucre en pain par Strasbourg Metz et Riltzeim,1,Pas grain (0),non,539069
sucre en pain pour la Compagnie des Indes,1,Pas grain (0),non,539069
sucre en pain raffiné,25,Pas grain (0),non,539069
sucre en pain sorti avec prime,13,Pas grain (0),non,539069
sucre en poudre,2,Pas grain (0),non,539069
sucre en poudre blanc,1,Pas grain (0),non,539069
sucre en poudre blanc de haut prix,1,Pas grain (0),non,539069
sucre en poudre brun,1,Pas grain (0),non,539069
sucre et raisin sec,2,Pas grain (0),non,539069
sucre et rocou,1,Pas grain (0),non,539069
sucre et tabac,1,Pas grain (0),non,539069
sucre et verdet,1,Pas grain (0),non,539069
sucre et vert-de-gris,0,Pas grain (0),oui,539069
sucre ferré,3,Pas grain (0),non,539069
sucre fin,3,Pas grain (0),non,539069
sucre mélasse,3,Pas grain (0),non,539069
sucre mélisse,1,Pas grain (0),non,539069
sucre mes ???,1,Pas grain (0),non,539069
sucre moscovade,8,Pas grain (0),non,539069
sucre noix,1,Pas grain (0),non,539069
sucre orianne,1,Pas grain (0),non,539069
sucre raffiné,279,Pas grain (0),non,539069
sucre roulé,1,Pas grain (0),non,539069
sucre royal,1,,non,1391
sucre terré,1372,Pas grain (0),non,539069
sucre terré autre que blanc,1,Pas grain (0),non,539069
sucre terré autre que blanc des entrepôts étranger,1,Pas grain (0),non,539069
sucre terré autre que blanc étranger,3,Pas grain (0),non,539069
sucre terré blanc,1,Pas grain (0),non,539069
sucre terré blanc des entrepôts étranger,1,Pas grain (0),non,539069
sucre terré blanc étranger,7,Pas grain (0),non,539069
sucre terré blanc ordinaire et têtes de forme,11,Pas grain (0),non,539069
sucre terré brun étranger,3,Pas grain (0),non,539069
sucre terré commun,1,Pas grain (0),non,539069
sucre terré des colonies françaises au-delà du Cap,2,Pas grain (0),non,539069
sucre terré des Indes,1,Pas grain (0),non,539069
sucre terré et sucre têtes,18,Pas grain (0),non,539069
sucre terré et sucre têtes d'Amérique,0,Pas grain (0),oui,539069
sucre terré moyen,1,,non,1391
sucre terré par Bayonne Marseille et Nantes,1,Pas grain (0),non,539069
sucre terré par Chapareillan,1,Pas grain (0),non,539069
sucre terré têtes,19,Pas grain (0),non,539069
sucre terré têtes de forme,1,,non,1391
sucre têtes,405,Pas grain (0),non,539069
sucre têtes de forme,113,,non,1391
sucre têtes forme,0,Pas grain (0),oui,539069
sucre vergeoise,142,Pas grain (0),non,539069
sucrerie,18,Pas grain (0),non,539069
sucrerie dragées,0,Pas grain (0),oui,539069
sucrerie drapée,2,Pas grain (0),non,539069
sucreterie,0,Pas grain (0),oui,539069
sucrier,4,Pas grain (0),non,539069
sucrier de faïence,2,Pas grain (0),non,539069
sucrillon,0,Pas grain (0),oui,539069
sucs d'espèces particulières,2,Pas grain (0),non,539069
suie de cheminée,3,Pas grain (0),non,539069
suif,1820,Pas grain (0),non,539069
suif à chandelle,19,Pas grain (0),non,539069
suif brut,10,Pas grain (0),non,539069
suif de mouton,1,Pas grain (0),non,539069
suif en branche,1,Pas grain (0),non,539069
suif en chandelle et en rames,1,Pas grain (0),non,539069
suif en masse,1,Pas grain (0),non,539069
suif en pain,95,Pas grain (0),non,539069
suif en poil,1,Pas grain (0),non,539069
suif en rames,13,Pas grain (0),non,539069
suif fondu,68,Pas grain (0),non,539069
suif pour faire du savon,1,Pas grain (0),non,539069
suif pour raffiner le cuivre,1,Pas grain (0),non,539069
suif soude,9,Pas grain (0),non,539069
suin,1,Pas grain (0),non,539069
suine,1,Pas grain (0),non,539069
sulfate d'alumine,2,Pas grain (0),non,539069
sulfate d'ammoniaque,2,Pas grain (0),non,539069
sulfate de cuivre,5,Pas grain (0),non,539069
sulfate de cuivre de fer et de zinc,2,Pas grain (0),non,539069
sulfate de cuivre et de fer,1,Pas grain (0),non,539069
sulfate de fer,5,Pas grain (0),non,539069
sulfate de magnésie de potasse et de soude,2,Pas grain (0),non,539069
sulfate de plomb,1,Pas grain (0),non,539069
sulfate de potasse,7,Pas grain (0),non,539069
sulfate de quinine,2,Pas grain (0),non,539069
sulfate de zinc,3,Pas grain (0),non,539069
sulfure d'arsenic jaune et rouge,4,Pas grain (0),non,539069
sulfure de mercure en pierres,3,Pas grain (0),non,539069
sumac,632,Pas grain (0),non,539069
sumac des corroyeurs,1,Pas grain (0),non,539069
sumac et autres feuilles tinctoriales,2,Pas grain (0),non,539069
sumeuille de cuivre,1,Pas grain (0),non,539069
sunaromba,0,Pas grain (0),oui,539069
surge de laine,4,Pas grain (0),non,539069
surons,1,Pas grain (0),non,539069
sutoze,1,Pas grain (0),non,539069
tababères en bergamote,0,Pas grain (0),oui,539069
tabac,965,Pas grain (0),non,539069
tabac à fumer,35,Pas grain (0),non,539069
tabac à mâcher,1,Pas grain (0),non,539069
tabac à râper,4,Pas grain (0),non,539069
tabac à varié,1,Pas grain (0),non,539069
tabac avarié,4,Pas grain (0),non,539069
tabac briquet,5,Pas grain (0),non,539069
tabac brut,1,Pas grain (0),non,539069
tabac commun,15,Pas grain (0),non,539069
tabac commun en feuilles,1,Pas grain (0),non,539069
tabac côte de ???,1,Pas grain (0),non,539069
tabac d'Espagne,44,Pas grain (0),non,539069
tabac d'Espagne en feuilles,1,Pas grain (0),non,539069
tabac de ???,1,Pas grain (0),non,539069
tabac de Brésil,1,,non,1391
tabac de caisse,1,Pas grain (0),non,539069
tabac de cantine,20,Pas grain (0),non,539069
tabac de carottes,2,Pas grain (0),non,539069
tabac de coco,1,Pas grain (0),non,539069
tabac de Hollande,10,Pas grain (0),non,539069
tabac de la Ferme,217,Pas grain (0),non,539069
tabac de la Havane,11,Pas grain (0),non,539069
tabac de renvoi,1,Pas grain (0),non,539069
tabac de Séville,2,Pas grain (0),non,539069
tabac de St. Domingue,18,Pas grain (0),non,539069
tabac de St. Vincent,2,Pas grain (0),non,539069
tabac de Virginie,28,Pas grain (0),non,539069
tabac de Virginie en feuilles,10,Pas grain (0),non,539069
tabac des Indes,1,Pas grain (0),non,539069
tabac des prises,7,Pas grain (0),non,539069
tabac divers,1,Pas grain (0),non,539069
tabac du Brésil,70,Pas grain (0),non,539069
tabac du Brésil acheté à Lisbonne,2,Pas grain (0),non,539069
tabac du Brésil acheté à Lisbonne en faisant route pour la Côte d'Or,2,Pas grain (0),non,539069
tabac du Brésil de Virginie,2,Pas grain (0),non,539069
tabac du Brésil pris à Lisbonne par les bâtiments français négriers expédiés des ports de France pour la Côte d'Or,1,Pas grain (0),non,539069
tabac du Brésil pris à Lisbonne par les bâtiments négriers expédiés des côtes de France pour la Côte d'Or,1,Pas grain (0),non,539069
tabac en ???,1,Pas grain (0),non,539069
tabac en andouille,8,Pas grain (0),non,539069
tabac en caisse,5,Pas grain (0),non,539069
tabac en cantine,1,Pas grain (0),non,539069
tabac en carotte,81,Pas grain (0),non,539069
tabac en carotte et en feuilles,1,Pas grain (0),non,539069
tabac en carotte et en feuilles et en côtes,1,Pas grain (0),non,539069
tabac en carotte et en feuilles et râpé,1,Pas grain (0),non,539069
tabac en carotte et fabriqué,2,Pas grain (0),non,539069
tabac en carotte et feuilles côtes,1,Pas grain (0),non,539069
tabac en carotte et rolles,1,Pas grain (0),non,539069
tabac en carotte par Bayonne,1,Pas grain (0),non,539069
tabac en cordes,16,Pas grain (0),non,539069
tabac en coren ???,3,Pas grain (0),non,539069
tabac en côtes,16,Pas grain (0),non,539069
tabac en côtes et en feuilles,27,Pas grain (0),non,539069
tabac en côtes et en feuilles des entrepôts pour la régie,1,Pas grain (0),non,539069
tabac en côtes et en feuilles pour la régie,6,Pas grain (0),non,539069
tabac en feuille,1,Pas grain (0),non,539069
tabac en feuilles,2,Pas grain (0),non,539069
tabac en feuilles de la Louisiane,1,Pas grain (0),non,539069
tabac en feuilles de Virginie,10,Pas grain (0),non,539069
tabac en feuilles et autres,3,Pas grain (0),non,539069
tabac en feuilles et en poudre,1,Pas grain (0),non,539069
tabac en feuilles par Bayonne,1,Pas grain (0),non,539069
tabac en feuilles par Dunkerque,1,Pas grain (0),non,539069
tabac en filé,1,Pas grain (0),non,539069
tabac en graine,1,Pas grain (0),non,539069
tabac en manoque,19,Pas grain (0),non,539069
tabac en poudre,277,Pas grain (0),non,539069
tabac en poudre commun,1,Pas grain (0),non,539069
tabac en poudre commun supérieur,1,Pas grain (0),non,539069
tabac en poudre de la Havane,3,Pas grain (0),non,539069
tabac en rolle,4,Pas grain (0),non,539069
tabac en rouleau,12,Pas grain (0),non,539069
tabac et savon,1,Pas grain (0),non,539069
tabac et son d'Espagne,1,Pas grain (0),non,539069
tabac fabriqué,47,Pas grain (0),non,539069
tabac fabriqué et préparé,4,Pas grain (0),non,539069
tabac ficelé,6,Pas grain (0),non,539069
tabac filé,73,Pas grain (0),non,539069
tabac fin,2,Pas grain (0),non,539069
tabac frisé,2,Pas grain (0),non,539069
tabac haché,4,Pas grain (0),non,539069
tabac haché et à fumer,1,Pas grain (0),non,539069
tabac pour échantillon,1,Pas grain (0),non,539069
tabac pressé d'Allemagne,1,Pas grain (0),non,539069
tabac râpé,92,Pas grain (0),non,539069
tabac râpé de la Ferme,7,Pas grain (0),non,539069
tabac râpé par Dunkerque,1,Pas grain (0),non,539069
tabac viedé,1,Pas grain (0),non,539069
tabagies,1,Pas grain (0),non,539069
tabatière d'écaille à charnière d'or,0,Pas grain (0),oui,539069
tabatière d'écaille incrustées d'or,0,Pas grain (0),oui,539069
tabatiere de bois blanc,0,Pas grain (0),oui,539069
tabatière de bois blanc,0,Pas grain (0),oui,539069
tabatière de bois d'olivier,0,Pas grain (0),oui,539069
tabatière de buis,0,Pas grain (0),oui,539069
tabatière de carton,0,Pas grain (0),oui,539069
tabatière de cuivre,0,Pas grain (0),oui,539069
tabatières,113,Pas grain (0),non,539069
tabatières à bergamote,1,Pas grain (0),non,539069
tabatières aux bergarnotes,0,Pas grain (0),oui,539069
tabatières communes,3,Pas grain (0),non,539069
tabatières corne,1,Pas grain (0),non,539069
tabatières d'agate,7,Pas grain (0),non,539069
tabatières d'argent,21,Pas grain (0),non,539069
tabatières d'argent et d'or,1,Pas grain (0),non,539069
tabatières d'argent et dorées,1,Pas grain (0),non,539069
tabatières d'argent et petites,2,Pas grain (0),non,539069
tabatières d'écaille,53,Pas grain (0),non,539069
tabatières d'écaille à charnière d'or,1,Pas grain (0),non,539069
tabatières d'écaille à pitons d'argent,1,Pas grain (0),non,539069
tabatières d'écaille et à pitons d'argent,0,Pas grain (0),oui,539069
tabatières d'écaille et garnies d'argent,0,Pas grain (0),oui,539069
tabatières d'écaille et incrustées d'argent,0,Pas grain (0),oui,539069
tabatières d'écaille et incrustées d'argent et d'or,0,Pas grain (0),oui,539069
tabatières d'écaille garnies d'argent,1,Pas grain (0),non,539069
tabatières d'écaille incrustées d'argent,1,Pas grain (0),non,539069
tabatières d'écaille incrustées d'argent et d'or,2,Pas grain (0),non,539069
tabatières d'écaille incrustées d'or,1,Pas grain (0),non,539069
tabatières d'écaille unie,3,Pas grain (0),non,539069
tabatières d'émail,1,Pas grain (0),non,539069
tabatières d'olivier,52,Pas grain (0),non,539069
tabatières d'or,11,Pas grain (0),non,539069
tabatières d'os,1,Pas grain (0),non,539069
tabatières de bergamote,12,Pas grain (0),non,539069
tabatières de bois,49,Pas grain (0),non,539069
tabatières de bois blanc,1,Pas grain (0),non,539069
tabatières de bois d'olivier,7,Pas grain (0),non,539069
tabatières de bois verni,1,Pas grain (0),non,539069
tabatières de buis,3,Pas grain (0),non,539069
tabatières de carton,77,Pas grain (0),non,539069
tabatières de coco,1,Pas grain (0),non,539069
tabatières de composition,2,Pas grain (0),non,539069
tabatières de corne,82,Pas grain (0),non,539069
tabatières de cuir,1,Pas grain (0),non,539069
tabatières de cuivre,1,Pas grain (0),non,539069
tabatières de cuivre jaune,1,,non,1391
tabatières de fer-blanc,7,Pas grain (0),non,539069
tabatières de forme,1,Pas grain (0),non,539069
tabatières de nacre,1,Pas grain (0),non,539069
tabatières de paille,9,Pas grain (0),non,539069
tabatières de pinsbeck,3,Pas grain (0),non,539069
tabatières de vermeil,1,Pas grain (0),non,539069
tabatières émaillées,1,Pas grain (0),non,539069
tabatières enrichies,5,Pas grain (0),non,539069
tabatières garnies d'or,1,Pas grain (0),non,539069
tabatières unies,1,Pas grain (0),non,539069
tabatières vernies,3,Pas grain (0),non,539069
tabernacle,3,Pas grain (0),non,539069
tabernacle de marbre,1,Pas grain (0),non,539069
tabernacle doré,1,Pas grain (0),non,539069
table en plomb,62,Pas grain (0),non,539069
tableaux,540,Pas grain (0),non,539069
tableaux à bordures dorées,3,Pas grain (0),non,539069
tableaux à cadres dorés,3,Pas grain (0),non,539069
tableaux à l'huile,1,Pas grain (0),non,539069
tableaux anciens,1,Pas grain (0),non,539069
tableaux avec leurs cadres,2,Pas grain (0),non,539069
tableaux communs,21,Pas grain (0),non,539069
tableaux communs et sur toile,7,Pas grain (0),non,539069
tableaux communs et vieux,1,Pas grain (0),non,539069
tableaux d'optique,2,Pas grain (0),non,539069
tableaux de famille,4,Pas grain (0),non,539069
tableaux de papier peint,1,Pas grain (0),non,539069
tableaux et thèses,1,Pas grain (0),non,539069
tableaux fins et sur toile,1,Pas grain (0),non,539069
tableaux grossiers,3,Pas grain (0),non,539069
tableaux portraits,1,Pas grain (0),non,539069
tableaux sans bordures,2,Pas grain (0),non,539069
tableaux sans bordures et sur toile,2,Pas grain (0),non,539069
tableaux sur bois,1,Pas grain (0),non,539069
tableaux sur toile,17,Pas grain (0),non,539069
tableaux vieux,4,Pas grain (0),non,539069
tables,4,Pas grain (0),non,539069
tables à café,1,Pas grain (0),non,539069
tables à cannelle,1,Pas grain (0),non,539069
tables à écrire,1,Pas grain (0),non,539069
tables à jouer,6,Pas grain (0),non,539069
tables à thé,6,Pas grain (0),non,539069
tables d'acajou,1,Pas grain (0),non,539069
tables d'ardoises,13,Pas grain (0),non,539069
tables de bois,24,Pas grain (0),non,539069
tables de bois peintes,2,Pas grain (0),non,539069
tables de bois petites,1,Pas grain (0),non,539069
tables de chêne,2,Pas grain (0),non,539069
tables de marbre,142,Pas grain (0),non,539069
tables de marbre avec leurs pieds,1,Pas grain (0),non,539069
tables de marbre et à pieds dorés,2,Pas grain (0),non,539069
tables de marbre ouvré,1,Pas grain (0),non,539069
tables de marbre petites,2,Pas grain (0),non,539069
tables de noyer,1,Pas grain (0),non,539069
tables de nuit,2,Pas grain (0),non,539069
tables de quadrilles,3,Pas grain (0),non,539069
tables de sapin,17,Pas grain (0),non,539069
tables de sapin en forme de commonde,1,Pas grain (0),non,539069
tables de sapin peinte,2,Pas grain (0),non,539069
tables de sapin peintes,11,Pas grain (0),non,539069
tables de sapin vernies,2,Pas grain (0),non,539069
tables de toilette,1,Pas grain (0),non,539069
tables de verre,47,Pas grain (0),non,539069
tables en feuilles,1,Pas grain (0),non,539069
tables en marbre,24,Pas grain (0),non,539069
tables fermées,1,Pas grain (0),non,539069
tables jacinthes,1,Pas grain (0),non,539069
tables peintes,8,Pas grain (0),non,539069
tables vernies,13,Pas grain (0),non,539069
tabletterie,7,Pas grain (0),non,539069
