orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
housses de chevaux et faux,housses de chevaux et faux,1,1
housses de chevaux et faux et fourreaux garnis de soie,housses de chevaux et faux et fourreaux garnis de soie,1,1
housses de chevaux garnies d'or et d'argent,housses de chevaux garnies d'argent et d'or,1,1
housses de drap,housses de drap,5,6
housses de drap ???,housses de drap,1,6
housses de lit,housses de lit,2,2
housses de selles,housses de selles,1,1
housses de velours,housses de velours,1,1
housses en drap et velours,housses de drap et de velours,2,2
housses et faux fourreaux,housses et faux fourreaux,3,3
housses et faux fourreaux garnis d'argent,housses et faux fourreaux garnis d'argent,1,1
housses et harnais de mulet,harnais et housses de mulet,1,1
housses galonnées,housses galonnées,2,2
housses galonnées d'or,housses galonnées d'or,4,4
housses galonnées d'or et d'argent,housses galonnées d'or et d'argent,1,1
housses garnies d'or,housses garnies d'or,1,2
housses garnies et or,housses garnies d'or,1,2
hubalingue,hubalingue,1,1
hubellimeus,hubellimeus,1,1
huile,huile,16,19
huile à ???,huile à ???,1,1
huile à brûler,huile à brûler,48,48
huile à brûler de graine,huile à brûler de graine,1,1
huile à lin,huile de lin,7,841
huile ambrée,huile ambrée,1,1
huile blanche,huile blanche,1,1
huile carabé,huile carabée,1,1
huile chimique,huile chimique,1,1
huile commune,huile commune,4,4
huile commune d'olive,huile commune d'olive,1,1
huile concrète de cacao de laurier,huile concrète de cacao et de laurier,2,2
huile Copahu,huile de copahu,1,53
huile d'absinthe,huile d'absinthe,1,2
huile d'Aix,huile d'Aix,2,2
huile d'amandes,huile d'amandes,76,77
huile d'amandes douces,huile d'amandes douces,12,14
huile d'ambre,huile d'ambre,11,11
huile d'anis,huile d'anis,28,28
huile d'aspic,huile d'aspic,58,58
huile d'élite dite keurolie,huile d'élite dite keurolie,1,1
huile d'enc,huile d'enc,1,1
huile d'étain,huile d'étain,1,1
huile d'œillette de noix de pavots,huile d'œillette,18,31
huile d'œillette ou de pavots,huile d'œillette,13,31
huile d'olive,huile d'olive,3185,3292
huile d'olive à manger,huile d'olive à manger,11,11
huile d'olive blanche de Gênes,huile d'olive blanche de Gênes,1,1
huile d'olive comestible,huile d'olive comestible,3,3
huile d'olive commune,huile d'olive commune,18,18
huile d'olive de fèce ou fie d'huile,huile d'olive de fèce ou fie d'huile,2,2
huile d'olive et autres pour fabrique,huile d'olive et autres pour fabrique,21,21
huile d'olive fine,huile d'olive fine,123,123
huile d'olive importée en grande partie à Marseille,huile d'olive importée en grande partie à Marseille,1,1
huile d'olive ne pouvant servir qu'aux fabriques,huile d'olive pour fabrique,2,245
huile d'olive ne pouvant servir qu'aux fabriques (de la Corse),huile d'olive pour fabrique de la Corse,1,1
huile d'olive pour fabrique,huile d'olive pour fabrique,223,245
huile d'olive sorties de l'île de Corse pour la France,huile d'olive Corse pour la France,1,1
huile d'ours,huile d'ours,1,1
huile de baleine,huile de baleine,90,90
huile de baume,huile de baume,1,1
huile de benedie,huile de benedie,1,1
huile de benjoin,huile de benjoin,1,1
huile de brique,huile de brique,1,1
huile de cacao,huile de cacao,2,2
huile de cade,huile de cade,4,4
huile de cahouanne,huile de cahouanne,3,3
huile de cannelle,huile de cannelle,17,17
huile de Capahu ou Copahu,huile de copahu,2,53
huile de carabé,huile de carabe,6,7
huile de carbes,huile de carabe,1,7
huile de carde,huile de carde,3,3
huile de casse genièvre cède cédrin,huile de casse cède cédrin genièvre,2,2
huile de castor,huile de castor,1,1
huile de chanvre,huile de chanvre,7,11
huile de chènevis,huile de chanvre,4,11
huile de chien de mer,huile de chien de mer,2,2
huile de chimie,huile de chimie,1,1
huile de chimie ?,huile de chimie ?,1,1
huile de citron d'orange et de bergamote,huile de citron bergamote et orange,1,1
huile de citron orange et leurs variétés,huile citron orange et leurs variétés,2,2
huile de clou de girofle,huile de girofle,1,46
huile de coco,huile de coco,1,1
huile de codde,huide de codde,1,1
huile de Copahu,huile de copahu,47,53
huile de Copahu ou Copahu,huile de copahu,1,53
huile de copalin,huile de copahu,1,53
huile de corde,huile de corde,1,1
huile de corne de cerf,huile de corne de cerf,1,1
huile de crabette,huile de crabette,1,1
huile de crème,huile de crème,1,1
huile de cumin,huile de cumin,1,1
huile de dégras,huile de dégras,1,1
huile de faine et de noix,huile de faine et de noix,2,5
huile de faîne et de noix,huile de faine et de noix,2,5
huile de farde,huile de farde,1,1
huile de fenouil d'anis et de carvi,huile d'anis carvi et fenouil,1,1
huile de fenouil et d'anis,huile d'anis et fenouil,2,2
huile de Flandre,huile de Flandre,1,1
huile de flanelle,huile de flanelle,1,1
huile de Florence,huile de Florence,1,1
huile de gaïac,huile de gaïac,1,1
huile de genièvre,huile de genièvre,14,14
huile de girofle,huile de girofle,45,46
huile de girofle et de sassafras,huile de girofle et sassafras,1,1
huile de grain,huile de graine,1,630
huile de graine,huile de graine,528,630
huile de graine d'anis,huile de graine d'anis,1,1
huile de graine d'olive,huile de graine d'olive,1,1
huile de graine de cannelle,huile de graine de cannelle,1,1
huile de graine de girofle,huile de graine de girofle,1,1
huile de graine de graine,huile de graine,2,630
huile de graine de laurier,huile de laurier,1,75
huile de graine de lin,huile de graine de lin,3,3
huile de graine de macis,huile de graine de macis,1,1
huile de graine de moutarde,huile de graine de moutarde,1,1
huile de graine de navette,huile de graine de navette,1,1
huile de graine de navette et de chanvre,huile de graine de navette et de chanvre,1,1
huile de graine de poisson,huile de graine de poisson,1,1
huile de graine de Rhodes,huile de graine de Rhodes,1,1
huile de graine de térébenthine,huile de graine de térébenthine,1,1
huile de graine diverse,huile de graine,2,630
huile de graine et autres,huile de graine,25,630
huile de graine et de noix,huile de graine et de noix,38,38
huile de graine ordinaire,huile de graine,55,630
huile de graines de lin colza navette etc et de noix,huile de graine de colza lin navette etc. et de noix,2,2
huile de graines grasses,huile de graine grasse,3,3
huile de grains,huile de grains,5,5
huile de grains à peintures,huile de grains à peinures,1,1
huile de graisse,huile de graisse,2,2
huile de graisse de poisson,huile de graisse de poisson,1,1
huile de gras,huile de gras,1,1
huile de gras et de traen pour tanneurs,huile de gras et de traens pour tanneurs,1,1
huile de gras pour tanneurs,huile de gras pour tanneurs,1,1
huile de Haarlem,huile de Haarlem,1,1
huile de hareng,huile de hareng,1,1
huile de jasmin,huile de jasmin,17,17
huile de jasmin et autres fleurs,huile de jasmin et autres fleurs,3,3
huile de jayet,huile de jayet,1,1
huile de laine,huile de laine,1,1
huile de laurier,huile de laurier,74,75
huile de lavande,huile de lavande,6,6
huile de lin,huile de lin,826,841
huile de lin pour l'entrepôt pour la Compagnie des Indes,huile de lin pour l'entrepôt pour la Compagnie des Indes,1,1
huile de loifon,huile de loifon,9,9
huile de loup marin,huile de loup marin,7,7
huile de maïs,huile de maïs,1,1
huile de Majorque,huile de Majorque,1,1
huile de menthe,huile de menthe,1,1
huile de morne,huile de morne,2,2
huile de morue,huile de morue,84,84
huile de muscade,huile de muscade,24,24
huile de navette,huile de navette,179,179
huile de noisettes,huile de noisettes,2,2
huile de noix,huile de noix,249,253
huile de noix et de faîne,huile de faine et de noix,1,5
huile de Palma Christi,huile de Palma Christi,9,9
huile de palme,huile de palme,32,32
huile de palme et de cacao,huile de cacao et palme,1,1
huile de palmier,huile de palmier,1,1
huile de parfum,huile de parfum,4,4
huile de peinture,huile de peinture,1,1
huile de Pérou,huile du Pérou,1,3
huile de pétrole,huile pétrole,4,18
huile de pierre,huile de pierre,1,1
huile de pignon et ricin,huile de pignon et ricin,2,2
huile de pin,huile de pin,1,1
huile de plantes,huile de plantes,1,1
huile de poisson,huile de poisson,1612,1646
huile de poisson des Îles,huile de poisson des Indes,1,1
huile de poisson divers,huile de poisson,1,1646
huile de poisson en lie,huile de poisson,2,1646
huile de poisson et à brûler,huile à brûler et de poisson,12,12
huile de poisson et de lin,huile de poisson et de lin,1,1
huile de poisson et poix,huile de poisson et poix,1,1
huile de poix,huile de poix,9,9
huile de rabette,huile de rabette,105,105
huile de rave,huile de rave,2,2
huile de Rhodes,huile de Rhodes,14,14
huile de rhue,huile de rhue,1,1
huile de romarin,huile de romarin,4,4
huile de rose,huile de rose,4,4
huile de rose de cannelle de Rhodes de macis et muscade,huile de cannelle macis muscade de Rhodes et rose,2,2
huile de salmus,huile de salmus,1,1
huile de sassafras,huile de sassafras,2,2
huile de saturne,huile de saturne,1,1
huile de sauge et de marjolaine,huile de marjolaine et sauge,1,1
huile de scorpion,huile de scorpion,6,6
huile de sein,huile de sein,1,1
huile de semence,huile de semence,1,1
huile de senteur,huile de senteur,97,97
huile de soldat,huile de soldat,3,3
huile de soufre,huile de soufre,2,2
huile de spermaceti,huile de spermaceti,5,5
huile de storax,huile de storax,8,8
huile de tamarin,huile de tamarin,2,2
huile de tartre,huile de tartre,2,2
huile de térébenthine,huile de térébenthine,194,235
huile de verre,huile de verre,1,1
huile de vialle,huile de vialle,2,2
huile de vitriol,huile de vitriol,278,289
huile dellevette,huile dellevette,2,2
huile diverse,huile diverse,39,39
huile diverse à la valeur,huile diverse à la valeur,1,1
huile diverse d'olive,huile d'olive,4,3292
huile diverse de graine,huile de graine,3,630
huile diverse de poisson etc.,huile,1,19
huile du Pérou,huile du Pérou,2,3
huile en crasse,huile en crasse,4,4
huile en crasse ou degnes ???,huile en crasse ou degnes ???,2,2
huile en dignar,huile en dignar,1,1
huile essencée,huile essencée,2,2
huile essentielle ou volatile de rose de citron de girofle de menthe etc,huile essentielle ou volatile de citron girofle menthe rose etc.,2,2
huile et acide vitriolique,acide vitriolique et huile de vitriol,29,109
huile et essence de térébenthine,essence et huile de térébenthine,120,184
huile et provisions,huile et provisions,1,1
huile et rabete,huile et rabete,1,1
huile et sirop,huile et sirop,2,2
huile fine,huile fine,3,3
huile grap indigo,huile grap indigo,1,1
huile grasse d'amandes,huile grasse d'amandes,4,4
huile grasse d'olive comestible,huile grasse d'olive comestible,4,4
huile grasse d'olive ne pouvant servir qu'aux fabriques,huile grasse d'olive pour fabrique,2,4
huile grasse d'olive ne servant qu'aux fabriques,huile grasse d'olive pour fabrique,2,4
huile grasse de faine et de noix,huile grasse de faine et noix,4,4
huile grasse de graines autres que de lin d'oeillettes ou de pavots,huile grasse de graines autres que lin œillette et pavot,2,2
huile grasse de graines d'oeillettes ou de pavots,huile grasse de graines d'œillette ou pavot,2,2
huile grasse de graines de lin,huile grasse de graines de lin,2,2
huile grasse de graines grasses,huile grasse de graines grasses,2,2
huile grasse de palme,huile grasse de palme,2,2
huile grasse de pignon de palme,huile grasse de palme et pignon,2,2
huile grasse de ricin,huile grasse de ricin,4,4
huile lin,huile de lin,3,841
huile marc d'olive ou amurca,huile marc d'olive ou amurca,1,1
huile médicinale,huile médicinale,1,1
huile noix,huile de noix,1,253
huile olive,huile d'olive,3,3292
huile pétrole,huile pétrole,14,18
huile pied d'huile,pied d'huile,1,1
huile pied d'huile de poisson,pied d'huile de poisson,1,1
huile pour étranger de poisson,huile pour étranger de poisson,1,1
huile pour France de poisson,huile pour France de poisson,3,3
huile pour lampe,huile pour lampe,1,1
huile rabette,huile rabette,1,1
huile sans distinction,huile,2,19
huile spirituelle d'olive,huile spirituelle d'olive,8,8
huile spirituelle de baleine,huile de baleine et spirituelle,1,1
huile spirituelle de girofle,huile de girofle et spirituelle,1,1
huile spirituelle de lin,huile de lin et spirituelle,6,6
huile spirituelle de poisson,huile spirituelle de poisson,1,1
huile stale,huile stale,1,1
huile succin,huile succin,3,3
huile superfine,huile superfine,1,1
huile térébenthine,huile térébenthine,12,12
huile vierge,huile vierge,1,1
huile vitriol,huile vitriol,3,3
huile volatile ambrée et huile antique,huile antique et huile volatile ambrée,1,1
huile volatile autre,huile volatile,2,2
huile volatile cannelle macis muscade girofle sassafras,huile volatile de cannelle girofle macis muscade et sassafras,2,2
huile volatile citron orange et leurs variétés,huile volatile de citron orange et leurs variétés,2,2
huile volatile de genièvre,huile volatile de genièvre,1,1
huile volatile de lavande,huile volatile de lavande,2,2
huile volatile de rose et de Rhodes,huile volatile de rose et de Rhodes,2,2
huile volatile fenouil anis romarin sauge marjolaine,huile volatile d'anis fenouil marjolaine romarin et sauge,2,2
huile volatile gaïac cade cèdre ou oxycèdre,huile volatile de cade cèdre ou oxycèdre et gaïac,2,2
huile volatile jasmin et autres fleurs d'odeur fugace,huile volatile de jasmin et autres fleurs d'odeur fugace,2,2
huiles de Copahu,huile de copahu,1,53
huîtres,huîtres,74,107
huîtres à l'écaille,huîtres en écaille,19,20
huîtres à la daube,huîtres à la daube,59,64
huîtres à la daube ou marinée,huîtres à la daube ou marinée,1,1
huîtres à mariner,huîtres à mariner,1,1
huîtres daubées,huîtres à la daube,5,64
huîtres en écaille,huîtres en écaille,1,20
huîtres en pierres,huîtres en pierres,2,2
huîtres fraîches,huîtres fraîches,7,15
huîtres marinées,huîtres,28,107
huîtres marines,huîtres marines,1,1
huîtres vertes,huîtres fraîches,7,15
hydromel,hydromel,14,14
hypochetia,hypochetia,1,1
hypocristis,hypocristis,1,1
igname,igname,5,5
images,images,16,16
images à cadres dorés,images à cadres dorés,1,1
images de cire,images de cire,1,1
images de corne,images de corne,1,1
images de papier,images de papier,38,38
images de papier estampes et cartes géographiques,images de papier et estampes et cartes géographiques,2,2
images de parchemin,images de parchemin,9,11
images de parchemin de corne,images de parchemin de corne,1,1
images de parchermin,images de parchemin,2,11
images de vélin,images de vélin,6,6
images des Îles,images des Indes,1,1
images dites dominoterie,dominoterie,4,134
images et cartes géographiques,images et cartes géographiques,2,2
images et estampes,estampes et images,1,1
images ou dominoterie,dominoterie,2,134
images peintes,images peintes,2,2
images sur papier,images sur papier,1,1
impériale,impériale,2,3
impériale aune,impériale,1,3
inde,inde,5,5
inde de Java,inde de Java,1,1
inde fine,inde fine,28,28
inde florée,inde florée,1,1
inde flottante,inde flottante,15,15
inde Java,inde Java,3,3
inde plante,inde plate,1,118
inde plate,inde plate,109,118
indienne,indienne,680,769
indienne diverse,indienne,5,769
indienne étrangère,indienne étrangère,1,5
indienne française,indienne française,1,1
indigo,indigo,3081,3292
indigo commun,indigo commun,2,2
indigo de retour,indigo de retour,3,3
indigo des Îles,indigo,12,3292
indigo floré,indigo floré,3,3
indigo guatimalo,indigo guatimalo,5,8
indigo inde-plate boules de bleu,indigo inde-plate boules de bleu,1,1
indigo par Bordeaux Nantes Le Havre et Dunkerque,indigo par Bordeaux Nantes Le Havre et Dunkerque,1,1
industrie étrangère articles réunis,ouvrages d'industrie étrangers,54,54
