goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
huile de tamarin,2,not raw cotton,non,549385
huile de tartre,2,not raw cotton,non,549385
huile de térébenthine,235,not raw cotton,non,549385
huile de verre,1,not raw cotton,non,549385
huile de vialle,2,not raw cotton,non,549385
huile de vitriol,289,not raw cotton,non,549385
huile de vitriol et vitriol,24,not raw cotton,non,549385
huile dellevette,2,not raw cotton,non,549385
huile diverse,39,not raw cotton,non,549385
huile diverse à la valeur,1,not raw cotton,non,549385
huile du Pérou,3,not raw cotton,non,549385
huile en crasse,4,not raw cotton,non,549385
huile en crasse ou degnes ???,2,not raw cotton,non,549385
huile en dignar,1,not raw cotton,non,549385
huile essencée,1,not raw cotton,non,549385
huile essentielle ou volatile de citron girofle menthe rose etc.,2,not raw cotton,non,549385
huile et essence de térébenthine,24,not raw cotton,non,549385
huile et provisions,1,not raw cotton,non,549385
huile et rabete,1,not raw cotton,non,549385
huile et sirop,2,not raw cotton,non,549385
huile fine,3,not raw cotton,non,549385
huile grap indigo,1,not raw cotton,non,549385
huile grasse d'amandes,4,not raw cotton,non,549385
huile grasse d'olive comestible,4,not raw cotton,non,549385
huile grasse d'olive pour fabrique,4,not raw cotton,non,549385
huile grasse de faine et noix,4,not raw cotton,non,549385
huile grasse de graines autres que lin œillette et pavot,2,not raw cotton,non,549385
huile grasse de graines d'œillette ou pavot,2,not raw cotton,non,549385
huile grasse de graines de lin,2,not raw cotton,non,549385
huile grasse de graines grasses,2,not raw cotton,non,549385
huile grasse de palme,2,not raw cotton,non,549385
huile grasse de palme et pignon,2,not raw cotton,non,549385
huile grasse de ricin,4,not raw cotton,non,549385
huile marc d'olive ou amurca,1,not raw cotton,non,549385
huile médicinale,1,not raw cotton,non,549385
huile pétrole,18,not raw cotton,non,549385
huile pour étranger de poisson,1,not raw cotton,non,549385
huile pour France de poisson,3,not raw cotton,non,549385
huile pour lampe,1,not raw cotton,non,549385
huile rabette,1,not raw cotton,non,549385
huile spirituelle d'olive,8,not raw cotton,non,549385
huile spirituelle de poisson,1,not raw cotton,non,549385
huile stale,1,not raw cotton,non,549385
huile succin,3,not raw cotton,non,549385
huile superfine,1,not raw cotton,non,549385
huile térébenthine,12,not raw cotton,non,549385
huile vierge,1,not raw cotton,non,549385
huile vitriol,3,not raw cotton,non,549385
huile volatile,2,not raw cotton,non,549385
huile volatile d'anis fenouil marjolaine romarin et sauge,2,not raw cotton,non,549385
huile volatile de cade cèdre ou oxycèdre et gaïac,2,not raw cotton,non,549385
huile volatile de cannelle girofle macis muscade et sassafras,2,not raw cotton,non,549385
huile volatile de citron orange et leurs variétés,2,not raw cotton,non,549385
huile volatile de genièvre,1,not raw cotton,non,549385
huile volatile de jasmin et autres fleurs d'odeur fugace,2,not raw cotton,non,549385
huile volatile de lavande,2,not raw cotton,non,549385
huile volatile de rose et de Rhodes,2,not raw cotton,non,549385
huîtres,107,not raw cotton,non,549385
huîtres à la daube,64,not raw cotton,non,549385
huîtres à la daube ou marinée,1,not raw cotton,non,549385
huîtres à mariner,1,not raw cotton,non,549385
huîtres en écaille,20,not raw cotton,non,549385
huîtres en pierres,2,not raw cotton,non,549385
huîtres fraîches,15,not raw cotton,non,549385
huîtres fraîches et salées,18,not raw cotton,non,549385
huîtres marines,1,not raw cotton,non,549385
hydromel,14,not raw cotton,non,549385
hypochetia,1,not raw cotton,non,549385
hypocristis,1,not raw cotton,non,549385
igname,5,not raw cotton,non,549385
images,16,not raw cotton,non,549385
images à cadres dorés,1,,non,4510
images de cire,1,not raw cotton,non,549385
images de corne,1,not raw cotton,non,549385
images de papier,38,not raw cotton,non,549385
images de papier et estampes et cartes géographiques,2,not raw cotton,non,549385
images de parchemin,11,not raw cotton,non,549385
images de parchemin de corne,1,not raw cotton,non,549385
images de vélin,6,not raw cotton,non,549385
images des Indes,1,not raw cotton,non,549385
images et cartes géographiques,2,not raw cotton,non,549385
images peintes,2,not raw cotton,non,549385
images sur papier,1,not raw cotton,non,549385
impériale,3,not raw cotton,non,549385
impériale de laine,1,not raw cotton,non,549385
inde,5,not raw cotton,non,549385
inde de Java,1,not raw cotton,non,549385
inde fine,28,not raw cotton,non,549385
inde florée,1,not raw cotton,non,549385
inde flottante,15,not raw cotton,non,549385
inde Java,3,not raw cotton,non,549385
inde plate,118,not raw cotton,non,549385
indienne,770,not raw cotton,non,549385
indienne ???,2,not raw cotton,non,549385
indienne commune,2,not raw cotton,non,549385
indienne de coton,21,not raw cotton,non,549385
indienne de coton et de fil,1,not raw cotton,non,549385
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,25,not raw cotton,non,549385
indienne de coton et siamoise de coton et toile de coton peinte,16,not raw cotton,non,549385
indienne de coton et toile de coton peinte,65,not raw cotton,non,549385
indienne de coton peinte,2,not raw cotton,non,549385
indienne de différentes qualités,1,not raw cotton,non,549385
indienne de France,6,not raw cotton,non,549385
indienne des Indes,2,not raw cotton,non,549385
indienne des Indes et toile peinte,5,not raw cotton,non,549385
indienne et sitz,2,not raw cotton,non,549385
indienne et toile perse,1,not raw cotton,non,549385
indienne étrangère,5,not raw cotton,non,549385
indienne étrangère et toile peinte,3,not raw cotton,non,549385
indienne française,1,not raw cotton,non,549385
indienne nationale et toile peinte,5,not raw cotton,non,549385
indienne peinte,30,not raw cotton,non,549385
indigo,3297,not raw cotton,non,549385
indigo commun,2,not raw cotton,non,549385
indigo de retour,3,not raw cotton,non,549385
indigo des Îles françaises,1,not raw cotton,non,549385
indigo des Indes,1,not raw cotton,non,549385
indigo en gr ???,1,not raw cotton,non,549385
indigo et sucre,1,not raw cotton,non,549385
indigo floré,3,not raw cotton,non,549385
indigo guatimalo,8,not raw cotton,non,549385
indigo inde-plate boules de bleu,1,not raw cotton,non,549385
indigo par Bordeaux Nantes Le Havre et Dunkerque,1,not raw cotton,non,549385
injubes,2,not raw cotton,non,549385
insectes,4,not raw cotton,non,549385
instruments,107,not raw cotton,non,549385
instruments d'arts libéraux,7,not raw cotton,non,549385
instruments d'astronomie,5,not raw cotton,non,549385
instruments d'optiques,11,not raw cotton,non,549385
instruments d'optiques et ouvrages ditto,1,not raw cotton,non,549385
instruments d'orfèvrerie,1,not raw cotton,non,549385
instruments de b??? mêlés,1,not raw cotton,non,549385
instruments de chimie,3,not raw cotton,non,549385
instruments de chirurgie,23,not raw cotton,non,549385
instruments de jardinage,1,not raw cotton,non,549385
instruments de marine,14,not raw cotton,non,549385
instruments de mathématique,39,not raw cotton,non,549385
instruments de mathématique et de musique,9,not raw cotton,non,549385
instruments de mathématique et instruments de chirurgie,2,not raw cotton,non,549385
instruments de mécanique,3,not raw cotton,non,549385
instruments de mer,2,not raw cotton,non,549385
instruments de musique,416,not raw cotton,non,549385
instruments de musique ???,1,not raw cotton,non,549385
instruments de musique et autres,11,not raw cotton,non,549385
instruments de navigation,2,not raw cotton,non,549385
instruments de physique,22,not raw cotton,non,549385
instruments de pilotage,4,not raw cotton,non,549385
instruments épinettes,1,not raw cotton,non,549385
instruments machine et mécanique,3,not raw cotton,non,549385
instruments machine et mécanique propres aux arts et aux sciences,11,not raw cotton,non,549385
instruments pour la pêche,10,not raw cotton,non,549385
instruments pour les arts et les sciences,180,not raw cotton,non,549385
instruments propres aux arts libéraux,6,not raw cotton,non,549385
instruments propres aux science,2,not raw cotton,non,549385
ipécacuanha,297,not raw cotton,non,549385
iranis,1,not raw cotton,non,549385
iris,177,not raw cotton,non,549385
iris de citron,1,not raw cotton,non,549385
iris de Florence,54,not raw cotton,non,549385
irtaine,1,not raw cotton,non,549385
isaris d'auf,1,not raw cotton,non,549385
isatis,5,not raw cotton,non,549385
issarions de palmes,4,not raw cotton,non,549385
istarions d'espars,1,not raw cotton,non,549385
ita à planter,1,not raw cotton,non,549385
Itaine de laine,1,not raw cotton,non,549385
ivies,1,not raw cotton,non,549385
ivoire,41,not raw cotton,non,549385
ivoire brûlé,1,not raw cotton,non,549385
ivoire brut,1,not raw cotton,non,549385
ivoire de Dieppe,1,not raw cotton,non,549385
ivoire dent d'éléphant,20,not raw cotton,non,549385
ivoire dent d'éléphant d'hippopotame et autres,2,not raw cotton,non,549385
ivoire en morceaux,2,not raw cotton,non,549385
ivoire noir,1,not raw cotton,non,549385
ivoire ou morphil,1,not raw cotton,non,549385
jaillet,1,not raw cotton,non,549385
jais,139,not raw cotton,non,549385
jais brut,1,not raw cotton,non,549385
jais de chêne,1,not raw cotton,non,549385
jais ou ouvrages de jais,1,not raw cotton,non,549385
jalap,441,not raw cotton,non,549385
jamard,2,not raw cotton,non,549385
jamavar,20,not raw cotton,non,549385
jambon,1268,not raw cotton,non,549385
jambon de Bayonne,11,not raw cotton,non,549385
jambon de Mayence,5,not raw cotton,non,549385
jambon du pays,1,not raw cotton,non,549385
jambon et lard,1,not raw cotton,non,549385
jambon et lard salé,1,not raw cotton,non,549385
jambon et saucisson,1,not raw cotton,non,549385
jambon fumé,27,not raw cotton,non,549385
jambon lard et saucissons,1,not raw cotton,non,549385
jambon non fumé,2,not raw cotton,non,549385
jambon pour l'entrepôt de la Compagnie,1,not raw cotton,non,549385
jambon salé,88,not raw cotton,non,549385
jambons,7,not raw cotton,non,549385
jantes,1,not raw cotton,non,549385
jantes et rais,1,not raw cotton,non,549385
jardinage divers,1,not raw cotton,non,549385
jardinage jasmin,2,not raw cotton,non,549385
jarres,155,not raw cotton,non,549385
jarres de terre,25,not raw cotton,non,549385
jarres vides,1,not raw cotton,non,549385
jarretières,3,not raw cotton,non,549385
jarretières d'argent,4,not raw cotton,non,549385
jarretières d'argent et d'or,1,not raw cotton,non,549385
jarretières d'argent et d'or et de soie,1,not raw cotton,non,549385
jarretières de fil,3,not raw cotton,non,549385
jarretières de filoselle,2,not raw cotton,non,549385
jarretières de fleuret,12,not raw cotton,non,549385
jarretières de laine,10,not raw cotton,non,549385
jarretières de soie,20,not raw cotton,non,549385
jarretières et ruban de laine,1,not raw cotton,non,549385
jarretières et tresse de laine,1,not raw cotton,non,549385
jas,1,not raw cotton,non,549385
jaspe,3,not raw cotton,non,549385
jatape,1,not raw cotton,non,549385
jattes de bois,3,not raw cotton,non,549385
jaune commun,1,not raw cotton,non,549385
jaune de Cassel,1,not raw cotton,non,549385
jaune de chrome,2,not raw cotton,non,549385
jaune de Naples,86,not raw cotton,non,549385
jaune doré,1,not raw cotton,non,549385
jaune gros,1,not raw cotton,non,549385
jaune paille,2,not raw cotton,non,549385
jaune royal,1,not raw cotton,non,549385
jeanne,1,not raw cotton,non,549385
jeanne gros,1,not raw cotton,non,549385
jet de bière,1,not raw cotton,non,549385
jet et lie de bière,1,not raw cotton,non,549385
jetons d'argent,1,not raw cotton,non,549385
jetons de cuivre,1,not raw cotton,non,549385
jets de canettes,2,not raw cotton,non,549385
jets de cannes,3,not raw cotton,non,549385
jets de cannes à poignée d'ambre,1,not raw cotton,non,549385
jets de grès,1,not raw cotton,non,549385
jets de terre,1,not raw cotton,non,549385
jets de voile,43,not raw cotton,non,549385
jeux d'échecs,1,not raw cotton,non,549385
jeux d'écrevisse,1,not raw cotton,non,549385
jeux d'orgues,1,,non,4510
jeux de camagnolle,1,not raw cotton,non,549385
jeux de moulins,19,not raw cotton,non,549385
jeux de moulins à sucre,7,not raw cotton,non,549385
jeux de voile,56,not raw cotton,non,549385
joaillerie,1,not raw cotton,non,549385
jolités de cristal garnis de cuivre,1,not raw cotton,non,549385
jolités en pinsbeck,1,not raw cotton,non,549385
jolités mêlées,1,not raw cotton,non,549385
joncs,73,not raw cotton,non,549385
joncs à faire des cannes,4,not raw cotton,non,549385
joncs à joncher les volailles,2,not raw cotton,non,549385
joncs communs,1,not raw cotton,non,549385
joncs de cannes,1,not raw cotton,non,549385
joncs des Indes,1,not raw cotton,non,549385
joncs en blocs,1,not raw cotton,non,549385
joncs en herbe,1,not raw cotton,non,549385
joncs entés,17,not raw cotton,non,549385
joncs et roseaux,32,not raw cotton,non,549385
joncs et roseaux des jardins,2,not raw cotton,non,549385
joncs et roseaux des marais d'Europe Presle et Sparte brut,2,not raw cotton,non,549385
joncs et roseaux exotiques bambous et joncs forts à cannes,2,not raw cotton,non,549385
joncs et roseaux exotiques rotins de petit calibre,3,not raw cotton,non,549385
joncs odorants,2,not raw cotton,non,549385
joncs ou auf,2,not raw cotton,non,549385
joncs pour cannes,1,not raw cotton,non,549385
joncs pour cannes et bambou et rotin,19,not raw cotton,non,549385
joncs pour cannes et bambou et ruban,8,not raw cotton,non,549385
joncs pour chaises,4,not raw cotton,non,549385
joncs pour couvrir,1,not raw cotton,non,549385
joncs pour couvrir bottes,1,not raw cotton,non,549385
joncs pour couvrir toits,1,not raw cotton,non,549385
joncs pour faire ???,2,not raw cotton,non,549385
joncs pour faire chaises,34,not raw cotton,non,549385
joncs pour faire des vertugadins,1,not raw cotton,non,549385
joncs pour faire les chaises des Indes,1,not raw cotton,non,549385
joncs pour faire voile,1,not raw cotton,non,549385
joncs pour joncher les volailles,1,not raw cotton,non,549385
joncs pour joncher voiles,2,not raw cotton,non,549385
joncs pour voile,25,not raw cotton,non,549385
joncs rotin,3,not raw cotton,non,549385
joncs Sparte brut et autres communs,1,not raw cotton,non,549385
joncs travaillés et paille travaillée,1,not raw cotton,non,549385
joncs vernis,1,not raw cotton,non,549385
jonquine,14,not raw cotton,non,549385
Joséphine de laine et de soie,1,not raw cotton,non,549385
jouets,6,not raw cotton,non,549385
jouets d'enfance,1,not raw cotton,non,549385
jouets d'enfant,11,not raw cotton,non,549385
jougs de bœuf,5,not raw cotton,non,549385
joujoux d'enfants,9,not raw cotton,non,549385
juifs qui payent le droit corporel à la sortie,1,not raw cotton,non,549385
jujubes,94,not raw cotton,non,549385
julaux,1,not raw cotton,non,549385
julienne,2,not raw cotton,non,549385
juments,38,not raw cotton,non,549385
juments de somme,3,not raw cotton,non,549385
juments et poulains,8,not raw cotton,non,549385
juments ou mulets,1,not raw cotton,non,549385
jupes,3,not raw cotton,non,549385
jupes de basin brodée en soie,1,not raw cotton,non,549385
jupes de callemande,1,not raw cotton,non,549385
jupes de coton,1,not raw cotton,non,549385
jupes de laine et de soie,1,not raw cotton,non,549385
jupes de molleton,2,not raw cotton,non,549385
jupes de satin brodée,1,not raw cotton,non,549385
